id,kind,category,description,severity,controlled,affected_outputs,required_solution,source_file,source_section
A01,assumption,model-building,"Classical scale invariance (conformal symmetry) at tree level: no dimensionful parameters in the Lagrangian. Radiative symmetry breaking via CW mechanism.",2,true,handoff_fopt.json;handoff_pta.json;handoff_constraints.json,"Explicitly documented and validated by critic-agent. The CW condition beta_lambda > 0 is enforced throughout. This is a foundational model assumption and is internally consistent.",handoff_model.json,global_symmetries
A02,assumption,model-building,"Zero Higgs portal coupling (lambda_HPhi = 0). No tree-level mixing between SM Higgs and dark Higgs sectors.",3,true,handoff_constraints.json,"Explicitly fixed parameter. Documented as a simplification. If relaxed, Higgs invisible decay constraints (BR_inv < 0.11) would strongly constrain lambda_HPhi. Future work: estimate radiatively generated lambda_HPhi via 2-loop effects (estimated O(10^{-16})).",handoff_model.json,parameter_basis.fixed.lambda_HPhi
A03,assumption,model-building,"Zero gauge kinetic mixing (epsilon = 0) between U(1)_D and U(1)_Y at all scales. No tree-level coupling between dark photon and SM photon.",3,true,handoff_constraints.json,"Explicitly fixed parameter. 6/17 constraints ruled not_applicable solely due to epsilon=0 (beam dump, stellar, SN, direct detection, indirect detection). Future work: compute 2-loop radiatively-induced epsilon.",handoff_model.json,parameter_basis.fixed.epsilon_kinetic_mixing
A04,assumption,model-building,"Dark sector thermalised with SM (xi = T_dark/T_SM = 1). Requires dark and visible sectors to share the same temperature history.",10,false,handoff_fopt.json;handoff_pta.json;handoff_constraints.json,"This is the most critical uncontrolled assumption. Constraint C17 flags that xi=1 is inconsistent with zero portal couplings. Gravitational interaction rate Gamma_grav/H ~ 10^{-51} at T=1 GeV -- completely negligible. Required action: implement coupled Boltzmann equations for DS-SM temperature evolution.",handoff_model.json,parameter_basis.fixed.xi
A05,assumption,model-building,"Two Dirac fermions (psi_1, psi_2) with charges +1/2 and -1/2 are the minimal anomaly-free fermion content.",1,true,handoff_model.json,"Explicitly validated by critic-agent. The U(1)_D^3 anomaly cancels with this charge assignment. Solid model-building choice, not an approximation.",handoff_model.json,assumptions
A06,approximation,fopt-potential,"Scalar loop contributions to the CW potential are neglected (gb_scalar = 0 in backend). Pipeline documentation states these are subleading.",5,false,handoff_fopt.json;handoff_pta.json,"Literature confirms scalar loops are subleading for CW regimes (Kierkla et al. 2312.12413). However, the beta_lambda formula omits the scalar self-interaction contribution (10*lambda^2/(48pi^2)). Future work: compare with and without scalar loop contributions.",handoff_model.json,approximations
A07,approximation,fopt-potential,"High-temperature expansion of the finite-T effective potential is valid throughout the supercooling regime. Assumes m/T << 1 for all particles at the phase transition temperature.",8,false,handoff_fopt.json;handoff_pta.json;handoff_constraints.json,"The high-T expansion breaks down for supercooled transitions: benchmark points have m_A'/T_n ~ 50-150, severely violating m/T << 1. Dimensional reduction (3D EFT) is the systematic alternative. Required action: quantify uncertainty by comparing 4D HT to 3D EFT.",handoff_fopt.json,approximations
A08,approximation,fopt-potential,"No Daisy (ring diagram) resummation is included in the thermal effective potential.",7,false,handoff_fopt.json;handoff_pta.json,"Daisy resummation captures the leading IR-divergent contributions from the zero-Matsubara mode. Curtin, Meade, Ramani (1808.08849) show errors up to 40% in Tc with standard methods. Required action: implement Arnold-Espinosa or PD resummation.",handoff_fopt.json,approximations
A09,approximation,fopt-potential,"Renormalisation scale fixed to the vev (mu = v). No RG running of couplings is included between the renormalisation scale and the physical temperature scale.",8,false,handoff_fopt.json;handoff_pta.json,"Significant uncontrolled approximation for supercooled transitions spanning many orders of magnitude. Sher (PRD 24, 1699, 1981) showed running changes T_n by ~10 orders in extreme cases. Required action: implement RG running with scale mu = max(m_A'(phi), pi*T).",handoff_fopt.json,approximations
A10,approximation,fopt-nucleation,"Gaussian approximation for the false vacuum fraction. The fraction of space remaining in the false vacuum is computed assuming an exponential nucleation rate that can be approximated by Gaussian integration around the saddle point.",4,false,handoff_fopt.json,"Standard approach. Athron, Balazs, Morris (2212.07559) show physical volume criterion matters for strong supercooling. Bias is systematic but small compared to other uncertainties.",handoff_fopt.json,approximations
