id,name,category,applicability_class,constraint_applied,affected_particles,mass_range_low_GeV,mass_range_high_GeV,coupling_name,coupling_range_low,coupling_range_high,observable,required_inputs,available_observables,missing_observables,units,conventions,applicability,tested_subregion,source_title,source_arxiv,priority
CONST-001,"LHCb prompt A' -> mu+mu-","collider","direct",false,"A'",0.214,0.740,"epsilon",1e-4,1e-2,"epsilon vs mA' -visible A'->mu+mu-","m_A', epsilon, BR(A'->mu+mu-)","m_A' from model",epsilon required,epsilon dimensionless,"LHCb uses epsilon^2 convention. BR(A'->mu+mu-) ~ 1 for mA'>2m_mu if A' only decays to visible SM","Applies to entire 1-sigma mA' range (0.31-0.67 GeV). If BR(A'->mu+mu-) ~ 1, excludes epsilon > few x 1e-4. But dark photon with dark Higgs rho opens invisible channel A'->rho+phistar - actual BR depends on unknown couplings",mA':0.31-0.67GeV,epsilon_visible:less_than_approx_1e-3,"Search for A'->mu+mu- Decays, LHCb","1910.06926",high
CONST-002,"BaBar invisible A' monophoton","collider","direct",false,"A'",0.02,8.0,"epsilon",1e-4,3e-3,"epsilon vs mA' - invisible A' decay","m_A', epsilon, BR(A'->invisible)","m_A' from model",epsilon required,epsilon dimensionless,"BaBar uses epsilon convention. Bound applies to invisible decay: BR(A'->invisible) ~ 1","Applies if A' decays invisibly (e.g. to dark sector particles). Excludes epsilon > few x 1e-4 for mA' ~0.3-0.7 GeV. However, both visible (to SM) and invisible (to rho/A' pairs) channels may be open",mA':0.02-8.0GeV,epsilon_invisible:less_than_approx_3e-4,"Search for Invisible Decays of a Dark Photon at BaBar","1702.03327",high
CONST-003,"NA64 invisible dark photon (electron beam)","beam_dump","direct",false,"A'",0.001,0.350,"epsilon",1e-5,3e-4,"epsilon vs mA' - invisible A'->DM","m_A', epsilon, BR(A'->invisible)","m_A' from model",epsilon required,epsilon dimensionless,"NA64 uses epsilon convention. 90% CL limits. A' produced via dark bremsstrahlung. Invisible decay required.","Applies only to mA' < 350 MeV lower edge of 1-sigma region. NA64 covers 214-350 MeV partially overlapping the 1-sigma mA' lower end (0.31 GeV). Excludes epsilon > few x 1e-4 for detectable A' produced in electron beam. Sensitivity drops sharply above 350 MeV.",mA':0.001-0.350GeV,epsilon_invisible:less_than_approx_3e-4,"Search for Light Dark Matter with NA64 (2023)","2307.02404",high
CONST-004,"BBN dark photon decay constraint","BBN","direct",false,"A'",0.005,100,"epsilon",1e-10,1e-6,"tau_A' < 0.2 s constraint from rho'/rho_tot at BBN","m_A', epsilon, tau_A', abundance Y_A'","m_A' from model; no abundance computed",epsilon required,epsilon dimensionless,"Coy et al. 2025 convention. BBN requires tau' < 0.2 s. For m_A' ~ 300-700 MeV, epsilon > 10^{-9}-10^{-8} required. Bound is lower limit on epsilon.","Applies to A' that decays to SM. For m_A' ~ 300-700 MeV, requires epsilon > 10^{-8} for decay before BBN. This gives a lower bound rather than an upper bound. However, if the dark sector has a small abundance, this may be relaxed.",mA':0.31-0.67GeV,epsilon:greater_than_approx_1e-8,"Light from darkness: history of a hot dark sector (Coy et al. 2025)","2405.10792",high
CONST-005,"BBN dark scalar (rho) decay constraint","BBN","approximate",false,"rho",0.031,0.071,"lambda_HPhi or sin^2(theta)",1e-12,1e-6,"rho lifetime and decay to e+e-/hadrons vs BBN","m_rho, lambda_HPhi, BR(rho->SM), abundance","m_rho from model; no abundance or branching fractions computed","rho lifetime, BR(rho->e+e-), BR(rho->hadrons), rho freeze-in yield","lifetime in seconds, mixing angle dimensionless","BBN constrains particles decaying with tau > 0.1 s. For m_rho=50-100 MeV, lifetime is controlled by scalar mixing angle sin^2(theta) = lambda_HPhi * v_dark * v_SM / m_h^2","For m_rho=50-100 MeV, decays to e+e- dominate. BBN excludes theta > 10^{-6}-10^{-7} (tau < 200 s regime) and CMB excludes 10^{-11} < theta < 10^{-6}. Full constraint requires computing rho lifetime, branching ratios, and abundance.",m_rho:0.031-0.071GeV,sin_theta:less_than_approx_1e-6_to_1e-11,"Cosmological beam dump: constraints on dark scalars mixed with the Higgs boson","1812.07585",high
CONST-006,"CMB energy injection from decaying rho","CMB","approximate",false,"rho",0.031,0.071,"lambda_HPhi or sin^2(theta)",1e-12,1e-9,"CMB anisotropy constraints on decaying particles","m_rho, lambda_HPhi, tau_rho, BR(rho->e+e-)","m_rho from model; no lifetime or BR computed","rho lifetime, BR(rho->e+e-), rho freeze-in yield","theta dimensionless, lifetime in seconds","CMB constrains energy injection at z < 1100 from decaying particles. For m_rho ~ 50-100 MeV with e+e- final state, excludes theta > 10^{-10} for tau_rho > 10^{13} s.","Range theta ~ 10^{-11}-10^{-10} excluded by Planck CMB power spectrum for m_rho~50-100 MeV decaying to e+e- with lifetime > 10^{13} s. Requires abundance computation.",m_rho:0.031-0.071GeV,sin_theta:less_than_approx_1e-10,"Cosmological beam dump: constraints on dark scalars mixed with the Higgs boson","1812.07585",high
CONST-007,"Delta N_eff from dark radiation","Neff","approximate",false,"A', rho",0.001,10,"xi (T_dark/T_SM)",1,1,"Number of additional relativistic dofs at BBN/CMB","T_dark/T_SM, mass spectrum, decoupling temperature","m_A', m_rho from model; xi=1 assumed",xi as function of T, dimensionless,"CMB Planck 2018: N_eff = 2.99 +/- 0.17, Delta N_eff < 0.3 at 95% CL. BBN: N_eff = 2.88 +/- 0.27.","If xi=1, at T>>masses, dark sector has 4 bosonic dofs (A':3, rho:1) giving Delta N_eff = 4 * (8/7) * (xi)^4 * (g_dark/g_gamma) ~ 0.57 for xi=1. This already exceeds Planck 95% CL bound. However, xi=1 is assumed by FOPT backend - constraint depends on whether dark sector is truly thermalized with SM.",dm_doFs:4,Delta_N_eff:approx_0.57,"Planck 2018 results. VI. Cosmological parameters","1807.06209",high
CONST-008,"Perturbativity bound (g_D)","theory","direct",true,"A', rho","N/A","N/A","g_D","0.1","4*pi","g_D < 4*pi (or g_D^2/(4*pi) < 1)","g_D","g_D=0.509-0.545 from 1-sigma",none,unitless,"Standard perturbativity requirement for gauge coupling","Satisfied: g_D^2/(4*pi) = 0.082-0.095, well below unity.",g_D:0.509-0.545,status:"satisfied","Perturbativity is a standard theory criterion","N/A",low
CONST-009,"Coleman-Weinberg consistency (beta_lambda>0)","theory","direct",true,"rho, Phi","N/A","N/A","g_D","0.49","1.3","beta_lambda = 3*g_D^4/(8*pi^2)","g_D","g_D=0.509-0.545",none,unitless,"CW mechanism requires beta_lambda > 0 for radiative symmetry breaking","Satisfied: beta_lambda = 0.0025-0.0034 > 0. Boson-dominated CW consistent.",g_D:0.509-0.545,status:"satisfied","Standard CW consistency condition","N/A",low
CONST-010,"Scalar mixing from Higgs signal strength","collider","recast_needed",false,"rho","N/A","N/A","lambda_HPhi","N/A","N/A","BR(h->invisible) or BR(h->beyond SM)","lambda_HPhi, m_rho","m_rho from model; no lambda_HPhi value","lambda_HPhi or sin(theta)","lambda_HPhi dimensionless","Higgs signal strength constraints: BR(h-> exotic) < 10-20% at 95% CL. Mixing angle sin(theta) < 0.12-0.28 for m_rho < 40 GeV.","Constraint depends on lambda_HPhi. For m_rho < m_h/2, h->rho+rho is possible. For m_rho=50-100 MeV, rho is light enough. The exotic Higgs width constraint gives lambda_HPhi < 0.01-0.1 depending on rho mass and mixing.",m_rho:0.031-0.071GeV,lambda_HPhi:"less_than_approx_0.01","Combining LEP and LHC to bound the Higgs Width","1504.02458",medium
CONST-011,"Beam dump constraints on dark scalar (CHARM, PS191, LSND)","beam_dump","recast_needed",false,"rho",0.050,0.200,"sin^2(theta)",1e-8,1e-6,"Scalar production in K decays or proton beam dump, detection via e+e- decays","m_rho, sin^2(theta), BR(rho->e+e-), production cross-section","m_rho from model; no mixing angle or BR",sin^2(theta),dimensionless,"PS191 (Gorbunov 2021): excludes sin^2(theta) ~ 10^{-7}-3x10^{-7} for m_rho=100-150 MeV. CHARM: excludes sin^2(theta) ~ 10^{-7}-10^{-6} similar range.","For m_rho=50-100 MeV, PS191 and CHARM cover only the upper end (100 MeV). At 50-71 MeV, these constraints may be weaker or absent. Kaon production threshold limits sensitivity.",m_rho:0.050-0.100GeV,sin_theta:less_than_approx_1e-6,"Constraints on light scalars from PS191 results","2105.11102",medium
CONST-012,"Stellar cooling (RGB/HB) from A'","stellar","not_applicable",false,"A'",0.0001,0.100,"epsilon",1e-16,1e-14,"Stellar energy loss rate from A' production","m_A', epsilon, plasma frequency in stellar cores","m_A' from model",m_A' >> 100 keV case,epsilon dimensionless,"Resonant A' production in stellar cores occurs when m_A' ~ plasma frequency. For m_A' ~ keV, epsilon < 10^{-15}.","Not applicable: m_A' = 300-700 MeV >> thermal plasma frequencies in stellar cores (~keV). Off-resonant production is exponentially suppressed for m_A' >> T_star.",m_A':0.31-0.67GeV,"not_applicable","Constraining dark photons with self-consistent simulations of globular cluster stars (Dolan et al. 2023)","2306.13335",low
CONST-013,"SN1987A cooling from A'","supernova","not_applicable",false,"A'",0.001,0.200,"epsilon",1e-10,1e-5,"SN1987A neutrino signal duration from A' cooling","m_A', epsilon, production rate in SN core","m_A' from model",m_A' >> 200 MeV case,epsilon dimensionless,"Traditional SN1987A cooling bound applies for m_A' < 200 MeV. New gain-layer constraint (Caputo 2025) strongest at 0.1-0.4 MeV.","Not applicable: m_A'=300-700 MeV > 200 MeV upper bound for SN cooling constraints. For m_A' this heavy, production in SN core is suppressed by Boltzmann factor exp(-m_A'/T) with T_core ~ 30-60 MeV.",m_A':0.31-0.67GeV,"not_applicable","Cooling the Shock: New Supernova Constraints on Dark Photons (Caputo et al. 2025)","2502.01731",low
CONST-014,"Direct detection (XENONnT, LZ) dark photon absorption","direct_detection","not_applicable",false,"A'",1e-06,0.001,"epsilon","N/A","N/A","DM-electron scattering / dark photon absorption in LXe","m_A', epsilon","m_A' from model",mA' too large for DD,epsilon dimensionless,"XENONnT constrains absorption of dark photons with mass < keV via electron recoils.","Not applicable: m_A' = 300-700 MeV >> keV range accessible to direct detection via absorption. Direct detection probes sub-MeV dark photon DM.",m_A':0.31-0.67GeV,"not_applicable","XENONnT Search for Light Dark Matter (2025)","N/A",low
CONST-015,"Delta N_eff from residual dark dofs after PT","Neff","approximate",false,"A', rho","N/A","N/A","T_reh, n_dark/s ratio","N/A","N/A","Effective number of relativistic species after phase transition and reheating","T_reh, n_A'/s, n_rho/s after reheating","T_reh from FOPT benchmarks, alpha, beta/H from PTArcade","Residual dark particle abundance after reheating","dimensionless","CMB Planck 2018: Delta N_eff < 0.3 at 95% CL. BBN: Delta N_eff < 0.4.","Very strong supercooling (alpha ~ 10^11) means the dark sector is very cold after PT. Reheating temperature T_reh can be estimated from FOPT parameters. The residual abundance of dark sector particles depends on reheat dynamics and needs calculation.",
CONST-016,"Theory: Classical scale invariance stability (no tree-level mass term)","theory","direct",true,"Phi","N/A","N/A","tree_level_lagrangian","N/A","N/A","Consistency of classical scale invariance assumption","Lagrangian parameters","Model has no tree-level mass term",none,"N/A","Model is classically scale invariant at tree level. No dimensionful parameters.","Confirmed: Lagrangian contains only |D_mu Phi|^2 - lambda |Phi|^4. No mass term.",status:"satisfied","Model specification (handoff_model.json)","N/A",low
CONST-017,"BBN: additional relativistic degrees of freedom at T~MeV","BBN","approximate",false,"A', rho","N/A","N/A","xi=T_dark/T_SM","1","1","Delta N_eff from additional relativistic dofs during BBN","T_dark/T_SM, effective dofs in dark sector","m_A', m_rho from model; xi=1 assumed","Evolution of dark sector temperature through PT and reheating","dimensionless","Planck+BBN: Delta N_eff < 0.4 at BBN. With xi=1, dark sector 4 bosonic dofs give Delta N_eff ~ 0.57.","For xi=1, the dark sector dofs exceed BBN bound. However, after the supercooled PT, the dark sector reheats to T_reh, and residual abundance of massive particles may be negligible. Need to compute actual energy density in dark sector at BBN.",
CONST-018,"NA62 dark photon visible decay A'->mu+mu-","beam_dump","direct",false,"A'",0.215,0.550,"epsilon",1e-7,1e-5,"epsilon vs mA' from NA62 beam dump mu+mu- search","m_A', epsilon, BR(A'->mu+mu-)","m_A' from model",epsilon,epsilon dimensionless,"NA62 (JHEP 09, 035, 2023): excludes 215-550 MeV range for visible A'->mu+mu- decays. 1.4e17 protons on dump.","Partially overlaps 1-sigma region at lower end (mA'=0.31 GeV). NA62 excludes epsilon ~ 10^{-6}-10^{-5} for m_A'=215-550 MeV. Upper end of 1-sigma region (0.55-0.67 GeV) is not covered.",mA':0.215-0.550GeV,epsilon:less_than_approx_1e-5,"Search for dark photon decays to mu+mu- at NA62","N/A",high
CONST-019,"KLOE-2 dark photon constraints","collider","not_applicable",false,"A'",0.527,0.568,"epsilon",1e-4,1e-3,"epsilon from e+e- -> U gamma, U -> pi+pi-","m_A', epsilon","m_A' from model","KLOE-2 probes m_A' in rho-omega mass region (~550 MeV)","epsilon dimensionless","KLOE-2 constraints focus on mA' ~ 527-568 MeV (rho-omega interference region)","Not directly applicable: KLOE-2 probes a narrow mass window (rho-omega region). Our 1-sigma mA' range (0.31-0.67 GeV) includes this region, but KLOE-2 constraints are model-dependent (assume A' couples to quarks as dark photon) and less stringent than LHCb.",mA':0.527-0.568GeV,epsilon:less_than_approx_1e-3,"KLOE-2 dark photon search in pi+pi- gamma final state","N/A",low
CONST-020,"Supernova gamma-ray constraints on dark photon","supernova","not_applicable",false,"A'",0.001,1,"epsilon","N/A","N/A","Prompt and diffuse gamma rays from SN1987A from A' decays","m_A', epsilon, lifetime, decay position","m_A' from model","m_A' > 200 MeV production in SN is suppressed","epsilon dimensionless","Gamma-ray constraints from SN1987A apply when A' is produced in SN core and decays outside, producing gamma rays.","Not applicable: for m_A'=300-700 MeV, production in SN core is Boltzmann-suppressed by exp(-m_A'/T_core) which is tiny (T_core ~ 30-60 MeV).",mA':0.31-0.67GeV,"not_applicable","High-energy neutrino signals from supernova explosions (Syvolap & Ruchayskiy 2024)","2404.19191",low
CONST-021,"Dark rho production via Higgs mixing at LEP/LHC","collider","recast_needed",false,"rho",0.031,0.071,"sin^2(theta)",1e-7,1e-3,"Exotic Higgs decays h -> rho+rho, rare meson decays (B, K)","m_rho, sin^2(theta), BR(rho->SM)","m_rho from model; no mixing value",sin^2(theta),dimensionless,"CMS EXO-24-034: BR(h->SS) < 10^{-4} for m_S=0.4-2 GeV. For m_rho<280 MeV, rho->e+e-/pipi/KK channels are open.","For m_rho=50-100 MeV, sensitivity from CMS h->SS search ends at m_S=0.4 GeV (our rho is lighter). Kaon decay experiments (NA62, E949) provide complementary coverage for m_rho < m_K - m_pi. Need kaon-production calculations.",m_rho:0.031-0.071GeV,sin_theta:less_than_approx_1e-6,"CMS search for light scalars via Higgs portal (2025)","EXO-24-034",medium
CONST-022,"Structure formation constraints on warm dark matter","structure_formation","not_applicable",false,"rho","N/A","N/A","N/A","N/A","N/A","Lyman-alpha forest constraints on light thermal relics","Particle velocity dispersion, mass, production mechanism","m_rho from model; rho is not a DM candidate","Not applicable","Structure formation constraints apply to DM candidates.","Not applicable: rho is not a dark matter candidate in this model (the model has no DM candidate). The A' and rho are unstable and decay to SM particles via portals.",status:"no DM candidate","Model has no fermionic DM candidate","N/A",low
CONST-023,"Dark scalar freeze-in and relic overproduction","thermalization","approximate",false,"rho",0.031,0.071,"sin^2(theta)",1e-7,1e-4,"Yield Y_S from freeze-in via Higgs mixing","m_rho, sin^2(theta), production cross-section","m_rho from model; no mixing value",sin^2(theta),dimensionless,"For sin^2(theta) > 10^{-6}, scalar thermalizes and follows freeze-out abundance (overcloses universe). For sin^2(theta) < 10^{-6}, freeze-in yield Y_S ~ 3e11*theta^2.","Constraint: veto sin^2(theta) > 10^{-6} to avoid thermalization and overproduction. For 10^{-12} < sin^2(theta) < 10^{-7}, freeze-in produces a subdominant population that must decay before BBN/CMB. The decoupling temperature of the dark sector from SM depends on portal couplings and must be computed to verify xi=1 assumption.",m_rho:0.031-0.071GeV,sin_theta:less_than_approx_1e-6,"Cosmological beam dump: constraints on dark scalars mixed with the Higgs boson (Fradette et al. 2018)","1812.07585",high
