"id","name","category","applicability_class","constraint_applied","affected_particles","mass_range","coupling_range","observable","required_observables","available_observables","missing_observables","tested_subregion","source_title","arxiv_id","citation_verified","applicability_notes"
"C01","Visible dark photon resonance searches at e+e- colliders","collider","requires_new_backend","false","A_prime","m_Aprime = 0.2806-0.8462 GeV overlaps BaBar 0.02-10.2 GeV","epsilon not specified","sigma(e+e- -> gamma A_prime) * BR(A_prime -> e+e-, mu+mu-) and prompt lifetime","epsilon; A_prime visible partial widths; total width; hadronic R treatment; detector lifetime regime","m_Aprime range from PTArcade 1sigma","epsilon; visible branching fractions; A_prime lifetime; production rate normalization","full 1sigma m_Aprime box overlaps, but no epsilon/BR is available","Search for a dark photon in e+e- collisions at BABAR","1406.2980","true","Do not exclude from mass alone; if epsilon and BRs are supplied this becomes a direct recast/application."
"C02","LHCb prompt and displaced dimuon dark photon searches","collider","requires_new_backend","false","A_prime","m_Aprime = 0.2806-0.8462 GeV; prompt search overlaps, displaced published low-mass window partly overlaps 0.2806-0.350 GeV","epsilon not specified","pp -> A_prime + X, A_prime -> mu+mu- prompt/displaced yield","epsilon; A_prime lifetime; BR(A_prime -> mu+mu-); production mode mapping","m_Aprime range from PTArcade 1sigma","epsilon; muonic branching fraction; lifetime; LHCb acceptance recast","full mass box for prompt-like search; lower part for displaced window","Search for dark photons produced in 13 TeV pp collisions","1710.02867","true","Requires lifetime and branching information; no exclusion is claimed."
"C03","Visible fixed-target and beam-dump dark photon searches","beam_dump","requires_new_backend","false","A_prime","m_Aprime = 0.2806-0.8462 GeV, overlapping parts of fixed-target/dump compilations","epsilon not specified","production in electron/proton dump or fixed target times visible decay probability","epsilon; lifetime; visible BRs; production rates in target material; shielding/geometry acceptance","m_Aprime range from PTArcade 1sigma","epsilon; A_prime total/partial widths; experiment-specific recast inputs","mass overlap only; coupling/lifetime slice unavailable","Serendipity in dark photon searches","1801.04847","true","DarkCast-style recast is the appropriate backend once epsilon and decay tables exist."
"C04","Invisible dark photon missing-energy searches","fixed_target","recast_needed","false","A_prime, rho","m_Aprime = 0.2806-0.8462 GeV overlaps BaBar invisible range m_Aprime <= 8 GeV and sub-GeV missing-energy programs","epsilon and invisible branching ratio not specified","sigma(production) * BR(A_prime -> invisible)","epsilon; invisible final states; BR(A_prime -> invisible); total width; detector acceptance","m_Aprime and m_rho ranges","existence and rate of invisible decay channels; epsilon; lifetime","mass overlap, but minimal no-fermion model has no specified dark matter invisible channel","Search for Invisible Decays of a Dark Photon Produced in e+e- Collisions at BaBar","1702.03327","true","Not directly applicable unless additional invisible states or long-lived dark-sector final states are defined."
"C05","Rare meson and resonance production of visible dark photons","flavor","requires_new_backend","false","A_prime","m_Aprime = 0.2806-0.8462 GeV; pi0 channel closed, eta/vector-meson and heavy-flavor channels may overlap","epsilon not specified","BR(meson -> gamma A_prime or X A_prime) * BR(A_prime -> SM)","epsilon; visible BRs; hadronic decay model; meson production rates; lifetime acceptance","m_Aprime range","epsilon; A_prime decay table; meson production and acceptance recast","eta/vector/heavy-flavor overlap only; no coupling slice","US Cosmic Visions: New Ideas in Dark Matter 2017: Community Report","1707.04591","true","Mass alone is insufficient; pi0-specific limits do not overlap because m_Aprime exceeds m_pi0."
"C06","Light dark-Higgs scalar beam-dump and rare-meson searches","beam_dump","requires_new_backend","false","rho","m_rho = 0.0286-0.0947 GeV overlaps light scalar ranges below kaon and B masses","lambda_HP or scalar-Higgs mixing angle not specified","production of scalar through Higgs mixing and visible displaced decays","lambda_HP; scalar-Higgs mixing angle; rho decay widths/BRs; meson production rates; lifetime acceptance","m_rho range","lambda_HP; mixing angle; rho lifetime; visible branching fractions","full 1sigma m_rho range","Cosmological beam dump: constraints on dark scalars mixed with the Higgs boson","1812.07585","true","Laboratory scalar limits need the portal-induced mixing and lifetime; not applied."
"C07","Higgs exotic and invisible decays to dark-sector particles","collider","requires_new_backend","false","rho, A_prime","m_rho and m_Aprime below m_h/2; kinematically open if portal operators generate h -> rho rho or h -> A_prime A_prime","lambda_HP and epsilon not specified","BR(h -> dark sector), visible/invisible/long-lived final-state branching fractions","lambda_HP; scalar mixing; h-rho-rho coupling; h-A_prime-A_prime effective rate; dark-sector decay table","dark masses and portal operators listed upstream","lambda_HP; Higgs mixing; exotic Higgs branching fractions; decay lengths","entire 1sigma region kinematically open, but rate unknown","Feebly Interacting Particles: FIPs 2022 workshop report","2305.01715","true","Kinematics alone does not imply a bound; rates are portal controlled."
"C08","BBN/CMB constraints on dark photon freeze-in and decays","BBN","requires_new_backend","false","A_prime","m_Aprime = 0.2806-0.8462 GeV lies within 1 MeV-100 GeV range discussed for decoupled mediators","epsilon not specified","freeze-in abundance, lifetime, visible/invisible branching, injected electromagnetic/hadronic energy","epsilon; A_prime lifetime; freeze-in yield; branching fractions; dark/visible temperature ratio","m_Aprime; upstream assumes xi=1 for FOPT","epsilon; abundance/yield; lifetime; branching fractions; BBN/CMB energy-injection observable","full 1sigma mass range overlaps mediator-decay cosmology studies","Cosmological Constraints on Decoupled Dark Photons and Dark Higgs","1605.07195","true","Cannot apply from lifetime or mass alone; abundance and decay channels are required."
"C09","BBN/CMB constraints on dark-Higgs freeze-in and decays","CMB","requires_new_backend","false","rho","m_rho = 0.0286-0.0947 GeV lies in scalar ranges covered by cosmological beam-dump analyses","lambda_HP or scalar-Higgs mixing angle not specified","scalar freeze-in yield, lifetime, decay modes, electromagnetic/hadronic energy injection","lambda_HP; scalar-Higgs mixing; rho lifetime; decay branching fractions; freeze-in abundance","m_rho; optional portal term listed","lambda_HP; mixing angle; rho decay table; freeze-in yield; BBN/CMB likelihood observable","full 1sigma m_rho range","Cosmological beam dump: constraints on dark scalars mixed with the Higgs boson","1812.07585","true","Potentially important because m_rho < 2 m_Aprime, so dark-sector decays may be portal suppressed."
"C10","Delta N_eff and dark-radiation thermal history","Neff","requires_new_backend","false","A_prime, rho","masses nonrelativistic by BBN if sector cools conventionally, but abundance/decoupling history unknown","epsilon, lambda_HP, xi history not specified","Delta N_eff and entropy/energy density in dark sector at BBN/CMB","thermalization/decoupling temperature; temperature ratio; annihilation/decay history; lifetimes; branching fractions","FOPT/PTA assumes xi=1 at transition; masses available","xi evolution to BBN/CMB; dark entropy transfer; decay/annihilation rates; Delta N_eff","entire 1sigma region; no validated BBN/CMB thermal history","NANOGrav Signal from a Dark Conformal Phase Transition","2306.17086","true","The FOPT xi=1 assumption is not itself a BBN/CMB calculation."
