id,kind,category,severity,controlled,description,affected_outputs,required_solution,source_file,source_section
A01,assumption,cosmology_thermal_history,10,False,"epsilon=0 makes dark sector secluded; SM reheating/BBN require epsilon~1e-6..1e-3. Dominant cosmological-viability driver.","cosmological viability; Treh interpretation; C1-C9",portal_reheating.py to compute SM T_reh and verify >3-4 MeV,handoff_constraints.json,warnings/C1/C2
A02,warning,gw_parameter_convention,9,False,"beta/H mismatch 152.7 vs 21.1 (factor ~7) at lit Point A; biases template amplitude/peak and posterior.","GW amplitude/peak; ptarcade posteriors; ranking",Reconcile backend beta/H definition with literature; recompute and re-fit,handoff_fopt.json,warnings
A03,approximation,gw_template_validity,8,False,"dbf used at alpha~1e15-1e16 with K_sw->1 saturation; amplitude pinned, alpha-insensitive.","GW amplitude; alpha interpretation; fit claim",Cross-check vs expansion-corrected template (2511.15687) and bf,handoff_pta.json,warnings/template_validity
A04,limitation,model_selection,8,False,"No Bayes factor/evidence (null); fit is goodness-of-region not model comparison.",explains-NANOGrav verdict strength,Run evidence estimation; Bayes factor vs SMBHB/power-law,handoff_pta.json,bayes_estimates.evidence
A05,uncertainty,cosmology_Neff,7,False,"Delta N_eff from dark radiation uncomputed; worst at y=0 (rank1, massless chi).",viability of y~0 points; CMB/BBN,deltaNeff.py; require <0.3-0.4,handoff_constraints.json,C3
A06,caveat,gw_redshift,6,True,"temperature_key=Treh used for redshift; Treh vs Tp differ by orders in supercooling.",peak frequency placement,Confirm redshift-T matches template derivation,handoff_fopt.json,temperature_key
A07,prior,statistical_prior,5,True,"PTArcade priors g_D,y enlarged to 2.0 beyond validated [0.1,1.5]/[0,1]; near perturbativity edge.",posterior normalization; future Bayes factor,Justify/restrict priors; enforce y^4<1.5 g_D^4 over full box,handoff_pta.json,ptarcade_analysis.priors
A08,uncertainty,cosmology_relic,6,False,"chi relic abundance/overclosure uncomputed; DM fraction unknown.",DM viability; direct detection C8,relic_chi.py Boltzmann freeze-out,handoff_constraints.json,C7/C8
A09,uncertainty,cosmology_BBN,6,False,"Light scalon (20-110 MeV) lifetime/abundance uncomputed; may be long-lived (lambda_portal=0).",BBN injection; dark radiation,scalon_decay.py two-dark-photon loop width,handoff_constraints.json,C9
A10,approximation,effective_potential,7,False,"mu=w, no RG running, no Daisy; scale-choice systematic on bounce (cf 2511.02910).","Tp, alpha, beta_H; all GW",Vary mu in [w/2,2w]; compare 3D-EFT,handoff_model.json,assumptions/fixed.mu_renorm
A11,approximation,bounce_action,6,False,"High-T expansion least reliable in deep supercooling where it is used.","Tp, Tn, alpha, beta_H",Validate vs full numerical bounce at benchmarks,handoff_fopt.json,approximations
A12,approximation,percolation,5,True,"Gaussian percolation approximation may mis-estimate completion at alpha~1e16.",Tp; completion verdict C11,Cross-check vs full true-vacuum-fraction integral,handoff_fopt.json,approximations/validation
A13,assumption,wall_dynamics,6,False,"Runaway vw->1 assumed; friction could give terminal velocity and change template.",template choice; efficiency; amplitude,Estimate Bodeker-Moore friction; switch template if non-runaway,handoff_pta.json,fixed.vw/template_validity
A14,assumption,model_construction,4,True,"Single-field conformal; SM/Higgs-portal back-reaction neglected (lambda_portal=0).",effective potential; transition,Bound back-reaction of reheating-required portal,handoff_model.json,assumptions
A15,assumption,model_construction,4,True,"beta_lambda>0 hard cut y^4<1.5 g_D^4 carves out fermion-dominated region a priori.",allowed region; prior support,Ensure cut applied over full prior box,handoff_critique.json,repair_records/warnings
A16,limitation,parameter_window,5,True,"vev window restricted to [0.05,10] GeV to engineer nHz band; signal is window-conditional.",peak frequency; PTA preference,Document nHz signal is window-conditional,handoff_critique.json,repair_records
A17,caveat,novelty,3,True,"Structurally non-novel; closest precedent 2502.19478 essentially same model with kinetic mixing.",originality framing,Frame vs 2502.19478; reuse their portal treatment,handoff_librarian_preliminary.json,novelty_verdict
A18,approximation,redshift_thermodynamics,5,False,"SM g_*(T) used for redshift but epsilon=0 means bath is dark; g_* may be wrong.",redshifted peak frequency/amplitude,Use correct dark+SM g_* once thermal history fixed,handoff_fopt.json,files_read
A19,uncertainty,statistical_data,4,True,"ceffyl free-spectrum 14-bin likelihood and 14/14 success metric are approximate vs full PTA analysis.",goodness-of-fit metric; posterior,Cross-check vs full PTA likelihood for headline claim,handoff_pta.json,campaign.mode=ceffyl
A20,approximation,spectral_shape,5,True,"dbf vs bf choice from qualitative dark-plasma dissipation; bf near-identical peak.",spectral shape/amplitude choice,Quantify dark-plasma dissipation,handoff_pta.json,template_validity
A21,caveat,internal_consistency,3,True,"f_peak_est is order-of-magnitude only, not the true spectral peak.",band-placement reasoning,Use only PTA-stage spectrum for peak placement,handoff_fopt.json,_comment_f_peak_est
A22,uncertainty,supernova_collider,7,False,"Dark-photon lab/SN bounds (C4-C6) need Z' widths and epsilon; reheating-viable epsilon may be excluded.",whether reheating-viable epsilon survives,darkphoton_decays.py; overlay epsilon vs exclusions,handoff_constraints.json,C4/C5/C6
