id,name,category,applicability_class,constraint_applied,affected_particles,observable,required_inputs,available_observables,missing_observables,tested_subregion,priority
C01,"Dark photon beam dump / collider constraints (E137, NA64, BaBar, LHCb, etc.)",beam_dump,not_applicable,false,"Aprime","Kinetic mixing epsilon","epsilon_kinetic_mixing, m_Aprime","m_Aprime from fopt_benchmarks.csv","epsilon is set to zero (fixed parameter)","",""
C02,"Dark photon stellar cooling bounds (HB stars, red giants, Sun)",stellar,not_applicable,false,"Aprime","Stellar energy loss rate","epsilon_kinetic_mixing, m_Aprime, stellar temperature","","epsilon is zero; no coupling to stellar plasma","",""
C03,"Supernova 1987A cooling constraint",supernova,not_applicable,false,"Aprime","SN1987A neutrino luminosity","epsilon_kinetic_mixing, m_Aprime, SN core profile","","epsilon = 0; no production mechanism","",""
C04,"BBN constraints on late-decaying particles / energy injection",BBN,requires_new_backend,false,"Aprime, chi, psi_1, psi_2","Particle lifetime, abundance at BBN","masses, couplings, DS thermal history, relic abundance","masses from PTArcade posterior","Relic abundance of DS particles after FOPT","A' decays promptly (tau<1s) in full 1-sigma region","high"
C05,"CMB Delta N_eff constraint from dark radiation",Neff,direct,true,"Aprime, chi, psi_1, psi_2","Delta N_eff = (4/7)*g*_ds*(T_ds/T_nu)^4","DS masses, DS temperature at BBN/CMB","masses from PTArcade posterior","xi(T) evolution from PT to BBN","All DS > 20 MeV, non-relativistic at BBN - automatically satisfied","high"
C06,"CMB constraints from DM annihilation/decay",CMB,requires_new_backend,false,"chi, psi_1, psi_2","DM annihilation cross-section or decay rate","DM mass, <sigma v>, relic abundance","masses available","DM relic abundance and annihilation cross-section","","medium"
C07,"Dark matter relic abundance (overproduction bound)",theory,requires_new_backend,false,"chi, psi_1, psi_2","Omega_DM h^2","DM mass, couplings, DS thermal history","masses, couplings from PTArcade posterior","chi/psi annihilation cross-section, freeze-out calculation","","high"
C08,"Perturbative unitarity bound on g_D and y_psi",theory,requires_new_backend,false,"Aprime, chi, psi_1, psi_2","Partial wave unitarity of amplitudes","g_D, y_psi, m_Aprime, m_chi","g_D and masses from PTArcade posterior","Full coupled-channel unitarity at DS energy scale","g_D < 4*pi satisfied; specific bound needs recalculation","low"
C09,"Vacuum stability / CW consistency condition",theory,direct,true,"chi","beta_lambda = (3*g_D^4 - 2*y_psi^4)/(8*pi^2) > 0","g_D, y_psi","beta_lambda in fopt_benchmarks.csv","","Already enforced by upstream agents",""
C10,"Supercooling condition (Feng-Zhang condition)",theory,direct,true,"Aprime, psi_1, psi_2","m_Aprime > m_psi => g_D > y_psi/sqrt(2)","g_D, y_psi","m_Aprime, m_psi from fopt_benchmarks.csv","","Already enforced by upstream agents",""
C11,"DM self-interaction constraints (Bullet Cluster, dwarf galaxies)",structure_formation,requires_new_backend,false,"chi, psi_1, psi_2","Self-interaction cross-section sigma_T/m","DM mass, couplings, mediator masses","masses, couplings from PTArcade posterior","DM self-interaction cross-section computation","","low"
C12,"Dark photon decay constraints (cosmological)",BBN,requires_new_backend,false,"Aprime","A' abundance after FOPT and decay products","g_D, m_Aprime, m_psi, T_reh","T_reh, alpha, beta_H from handoff_fopt.json","A relic abundance, psi thermalisation","A' lifetime ~10^-13 s, prompt decay","low"
C13,"Higgs invisible decay constraint",collider,not_applicable,false,"chi, Aprime, psi_1, psi_2","BR(h -> invisible)","lambda_HPhi, DS particle masses","","lambda_HPhi = 0 (fixed parameter)","",""
C14,"DM direct detection constraints (XENONnT, LZ)",direct_detection,not_applicable,false,"chi, psi_1, psi_2","DM-nucleon scattering cross-section","epsilon, lambda_HPhi, m_DM","","epsilon = 0, lambda_HPhi = 0","",""
C15,"DM indirect detection constraints (Fermi-LAT, AMS-02, HESS)",indirect_detection,not_applicable,false,"chi, psi_1, psi_2","DM annihilation flux to SM","DM -> SM final states","","No DM -> SM annihilation channels in secluded model","",""
C16,"BBN/CMB constraint on PT energy injection (Bai-Korwar bound)",BBN,approximately_testable,false,"","T_*, alpha_*","alpha, T_reh, xi coupling","alpha, T_reh from handoff_fopt.json","Energy partition between DS and SM during reheating","FOPT benchmarks near T_reh ~ 1-2 MeV may be in tension","medium"
C17,"xi = 1 self-consistency (thermalisation of secluded DS)",thermalization,requires_new_backend,false,"","xi(T) = T_dark/T_SM evolution","epsilon, lambda_HPhi, gravitational rates","","Gravitational thermalisation rate, initial xi","","high"
