id,kind,category,description,severity,controlled,affected_outputs,required_solution,source_file,source_section,source_note
PA01,warning,novelty,Exact core classically conformal SU(2)_D doublet model was already studied for NANOGrav 12.5-year FOPT interpretation in arXiv:2109.11558; model-level novelty is low.,7,False,model novelty | final interpretation,"Compare only as updated/recomputed PTA likelihood result, not as a new model claim.",output/minimal_conformal_su2_doublet/handoff_librarian_preliminary.json,warnings/novelty_verdict,Exact same-model literature precedent.
PA02,assumption,model_building,Minimal model fixes Higgs portal coupling to zero and treats the dark sector as secluded.,9,False,constraints | cosmology | laboratory applicability,"Specify a thermal origin or nonzero portal extension, or state that portal searches and thermal-SM constraints are not directly testable.",output/minimal_conformal_su2_doublet/handoff_model.json,parameter_basis.fixed,portal_coupling=0.
PA03,limitation,thermal_history,"No thermal history, dark-sector temperature ratio, decoupling history, reheating partition, relic abundance, or entropy transfer observable was computed.",10,False,BBN/CMB constraints | Delta N_eff | interpretation of sub-GeV transition,"Implement thermal_history.py/cosmo_constraints.py with T_dark/T_SM, entropy evolution, FOPT energy partition, and BBN/CMB likelihood mapping.",output/minimal_conformal_su2_doublet/handoff_constraints.json,missing_calculations,Constraint stage requires new backend for core cosmological observables.
PA04,limitation,dark_matter,"No relic abundance or fractional dark-vector DM abundance was computed, so vector-DM claims and self-interaction bounds cannot be applied.",9,False,dark matter viability | self-interaction constraints,Compute Omega_WD/Omega_DM for the assumed thermal/nonthermal history and document whether W_D is stable and cosmologically relevant.,output/minimal_conformal_su2_doublet/handoff_constraints.json,missing_calculations,Relic-density and DM-fraction observables absent.
PA05,limitation,self_interactions,No non-Abelian vector self-interaction transfer or viscosity cross section sigma/m(v) was computed.,8,False,structure-formation constraints,"Implement self_interactions.py for dwarf, Milky Way, and cluster velocities with unit conversion and transfer/viscosity convention.",output/minimal_conformal_su2_doublet/handoff_constraints.json,constraints C05-C06,Mass and coupling alone cannot test SIDM bounds.
PA06,approximation,fopt_backend,FOPT calculation uses a semianalytic conformal high-temperature/polynomial backend with Gaussian percolation approximation.,8,False,alpha | beta/H | Tn/Tp/Treh | PTA spectrum,Cross-check selected benchmarks with a full finite-temperature effective-potential/bounce calculation and alternate percolation criteria.,output/minimal_conformal_su2_doublet/handoff_fopt.json,warnings/approximations,Backend approximation explicitly inherited downstream.
PA07,approximation,effective_potential,"Single-field Coleman-Weinberg radial background is assumed; portal, dark fermions, extra scalars, daisy thermal-mass scans, and RG-running scans are omitted.",7,False,phase-transition strength | mass spectrum | theoretical validity,"Add controlled variations for portal, extra matter, RG scale, and thermal-mass prescriptions if making robustness claims.",output/minimal_conformal_su2_doublet/handoff_fopt.json,approximations,Restricted model and scan basis.
PA08,warning,spectrum_template,PTA analysis uses DBF template for very large-alpha points; wall velocity and microscopic efficiency are not independently computed.,9,False,PTA fit | GW amplitude | spectral shape,"Compute or marginalize wall velocity and efficiency, compare DBF/BF/Higgsless templates only within documented validity domains.",output/minimal_conformal_su2_doublet/handoff_pta.json,warnings/template_validity,DBF selected by regime with explicit validity warning.
PA09,warning,pta_benchmark,No perfect 14/14 PTA violin benchmark was found; best direct scan benchmark reaches 13/14 bins.,6,True,benchmark visualization | claim strength,Report as near-match only and avoid claiming all violin bins are covered by a direct benchmark.,output/minimal_conformal_su2_doublet/handoff_pta.json,benchmark_analysis.scan_summary,Best accepted score was 13/14.
PA10,prior,ptarcade_priors,Initial PTArcade final run hit the upper log10_vD prior boundary and was rerun with a wider prior; posterior boundary sensitivity remains a required caveat.,8,False,posterior | MAP | credible intervals,"Inspect final chains for boundary contact, rerun with still-wider/alternative priors if posterior support approaches limits.",output/minimal_conformal_su2_doublet/handoff_pta.json,warnings/ptarcade_analysis.priors,Archived prior-boundary chain and widened-prior rerun documented.
PA11,warning,ptarcade_map,Final PTArcade MAP has extremely large alpha and f_peak_est above nominal PTA steering band; f_peak_est is approximate while DBF spectrum is fitted.,8,False,MAP interpretation | PTA-band explanation,"Assess MAP validity using full spectrum, template domain, and prior-boundary diagnostics rather than f_peak_est alone.",output/minimal_conformal_su2_doublet/handoff_pta.json,ptarcade_analysis.map_estimates,MAP alpha=2.14e14 and f_peak_est=1.75e-7 Hz.
PA12,limitation,constraints,"Constraint stage claims no exclusions mainly because required cosmological, portal, abundance, and self-interaction observables are missing.",9,False,constraint verdict | final viability,"Phrase constraint result as unconstrained/not testable with current observables, not as physically allowed.",output/minimal_conformal_su2_doublet/handoff_constraints.json,warnings/constraint_summary,Only one direct theory check; seven constraints require new backend.
PA13,warning,cosmology,"Sub-GeV strongly supercooled FOPT can affect BBN/CMB through energy release or dark radiation, but visible/dark reheating and Delta N_eff are not mapped.",10,False,cosmological viability | final claim,"Compute dark radiation, entropy injection, and BBN/CMB likelihood for the fitted posterior region.",output/minimal_conformal_su2_doublet/handoff_constraints.json,constraints C01-C04,Core cosmological constraints require thermal history.
PA14,assumption,mass_convention,Pipeline adopts m_WD(chi)=gD*chi/2 despite a convention tension in arXiv:2109.11558.,6,True,literature benchmark comparison | model mapping,Keep the critic-authoritative convention in all local code and avoid directly importing same-paper benchmark masses without conversion.,output/minimal_conformal_su2_doublet/handoff_critique.json,warnings/validation_field_dependent_masses,Convention fixed by critic validation.
PA15,uncertainty,gauge_dependence,Perturbative finite-temperature effective potential in conformal models has gauge/daisy/RG prescription dependence not quantified by the scan.,8,False,FOPT observables | robustness,Run gauge/prescription/RG-scale variations or use gauge-invariant diagnostics where possible.,output/minimal_conformal_su2_doublet/handoff_librarian_preliminary.json,theory_uncertainties,Gauge dependence and daisy prescription flagged upstream.
PA16,prior,scan_ranges,FOPT and PTA scans use finite chosen ranges for gD and vD; conclusions are conditional on these prior/range choices.,6,True,benchmark discovery | posterior support,State all ranges and rerun boundary expansions when best points or posterior mass approach limits.,output/minimal_conformal_su2_doublet/handoff_fopt.json,prior_ranges,"FOPT gD [0.25,3.2], vD [1e-5,0.8] GeV; PTA priors differ."
