id,name,category,applicability_class,constraint_applied,affected_particles,mass_range,coupling_range,observable,missing_observables,tested_subregion,source_arxiv
C1,BBN lower bound on reheating temperature,BBN,approximate,false,W_D;chi,chi0 0.605-1.281 GeV,g 0.852-0.916,SM-bath reheating temperature after percolation,SM-only bath temperature after entropy transfer,"PTA region T_star~0.04-0.14 GeV (>2 MeV); deep-supercooling Treh~0.5-1.5 MeV violates if applied",2109.14765;1511.00672
C2,Dark radiation / Neff from secluded sector,Neff,requires_new_backend,false,W_D;chi,m_W 0.26-0.59 GeV;m_chi 37-91 MeV,g 0.852-0.916,Delta Neff,xi at BBN/CMB; Delta Neff,Entire region if secluded (Delta Neff>0.22 excluded),2306.09411
C3,Portal requirement / thermalization with SM,thermalization,requires_new_backend,false,Phi;W_D;chi,chi0 0.605-1.281 GeV,portal unspecified,thermalization rate vs Hubble; conformal breaking,portal coupling; Gamma_portal/H,Whole region (structural),2502.19478
C4,Transition completion / percolation,theory,approximate,true,Phi,chi0 0.605-1.281 GeV,g 0.852-0.916,Tp finite; eternal_inflation False,none,All viable points percolate,2501.11619
C5,Vector dark matter relic abundance,indirect_detection,requires_new_backend,false,W_D,m_W 0.26-0.59 GeV,g 0.852-0.916,Omega_DM h^2,annihilation xsec; relic yield; W_D lifetime,Whole region (W_D as DM),2109.11558
C6,Pseudo-dilaton stability / late decays,BBN,requires_new_backend,false,chi,m_chi 37-91 MeV,portal unspecified,chi lifetime/abundance; BBN-CMB injection,tau_chi; Omega_chi,Whole region (chi->WW closed throughout),2502.19478
C7,Beam-dump bounds on kinetic-mixing portal,beam_dump,recast_needed,false,W_D,m_W 0.26-0.59 GeV,epsilon 1e-7..1e-4,visible dark-photon decay yield,epsilon (no abelian factor),m_W overlaps E137/CHARM/nu-cal; epsilon window tensioned,2507.11163
C8,SN1987A cooling bound on light portal,supernova,recast_needed,false,W_D;chi,m_W 0.26-0.59 GeV;m_chi 37-91 MeV,epsilon 1e-10..1e-6,SN energy-loss / late nu signal,epsilon; SM coupling,Mainly m_chi 37-91 MeV and epsilon~1e-9..1e-6,1410.0221
C9,Direct detection of sub-GeV vector DM,direct_detection,not_applicable,false,W_D,m_W 0.26-0.59 GeV,portal unspecified,DM-nucleon/electron xsec,portal coupling; scattering xsec,None in secluded case,2502.19478
C10,DM self-interaction (SIDM) bound,structure_formation,requires_new_backend,false,W_D,m_W 0.26-0.59 GeV;m_chi 37-91 MeV,g 0.852-0.916,sigma_self/m,self-scattering xsec,Whole region (inputs available),1705.02358
C11,Collider invisible/visible (Higgs portal),collider,recast_needed,false,Phi;chi,m_chi 37-91 MeV,lambda_portal unspecified,BR(h->invisible/exotic),portal coupling; BR(h->inv),None unless Higgs portal added,
