id,kind,category,severity,controlled,affected_outputs,description,required_solution,source_file,source_section,source_note
PA01,caveat,literature_novelty,5,false,"librarian novelty verdict|benchmark interpretation|final scientific claims","The broad class of classically conformal dark U(1) phase transitions has already been studied; novelty is only partial for the exact no-fermion, charge-one, PTArcade implementation.","Frame novelty narrowly and compare against the closest U(1) Coleman-Weinberg/PTA papers with explicit model-content differences.",output/u1conformal/handoff_librarian_preliminary.json,novelty_verdict,"Not novel as a broad class; partially novel only in the stripped-down convention and implementation."
PA02,warning,conventions,6,false,"benchmark seeding|parameter comparisons|mass-range constraints","Literature benchmarks use multiple U(1) charge and vev conventions, including m_ZD = 2 g_D M, while this pipeline uses q_Phi = 1 and m_Aprime = g_D v.","Maintain an explicit conversion table for each imported benchmark and verify all mass, vev, and coupling translations before quoting comparisons.",output/u1conformal/handoff_librarian_preliminary.json,"warnings; benchmark_hints","Closest same-model paper uses a different dark charge/mass convention."
PA03,assumption,parameter_basis,4,true,"FOPT scan|PTArcade priors|mass formulas","lambda_Phi is fixed by the Coleman-Weinberg/backend relation and is not an independent scanned parameter.","Keep lambda_Phi out of independent priors and record beta_lambda/lambda_Phi as derived quantities for every posterior sample.",output/u1conformal/handoff_model.json,parameter_basis.dependent,"The critic and FOPT handoffs consistently treat lambda_Phi as dependent."
PA04,limitation,portal_inputs,9,false,"constraints|thermal history|decay lifetimes|phenomenological viability","epsilon and lambda_HP are unspecified and assumed negligible for FOPT, but they are essential for laboratory, cosmological, and visible-sector constraints.","Specify priors or benchmark values for epsilon and lambda_HP and implement the corresponding width, lifetime, branching-ratio, and production calculations.",output/u1conformal/handoff_constraints.json,"warnings; missing_calculations","No collider, beam-dump, SN1987A, BBN, CMB, direct, or indirect exclusion was applied without these observables."
PA05,assumption,thermal_history,9,false,"FOPT temperatures|GW amplitude|Delta N_eff|BBN/CMB interpretation","The FOPT/PTA calculation fixes xi = T_dark/T_visible = 1 while the couplings that could maintain thermal contact are small or unspecified.","Compute Gamma_SM-dark/H, decoupling, entropy transfer, and xi(T), or explicitly impose and justify xi = 1 as an initial condition.",output/u1conformal/handoff_constraints.json,constraints C10-C11,"xi=1 is an input assumption, not a derived result."
PA06,approximation,fopt_backend,8,false,"alpha|beta_H|Tn|Tp|Treh|PTA spectrum","The FOPT stage uses the semi-analytic conformal single-field backend with a high-temperature/small-field polynomial form and subleading scalar/Goldstone treatment.","Benchmark against a full finite-temperature effective-potential implementation over representative posterior points.",output/u1conformal/handoff_fopt.json,approximations,"Semi-analytic backend with scalar/Goldstone contributions treated as subleading."
PA07,limitation,finite_temperature_theory,8,false,"transition strength|nucleation|percolation|literature comparisons","Full Daisy resummation, RG running, longitudinal gauge thermal masses, scalar thermal masses, and gauge/resummation prescription variations were not implemented.","Add a controlled finite-temperature potential implementation and compare Landau-gauge, gauge-independent, and resummation-scheme variants where available.",output/u1conformal/handoff_critique.json,"validation_thermal_masses; warnings","Not required by the selected backend, but required for a full finite-temperature implementation."
PA08,approximation,percolation,7,false,"viability labels|Tn|Tp|Treh|PTA posterior","The backend uses a Gaussian false-vacuum-fraction/percolation approximation; percolation and eternal-inflation checks are present only at backend-screen level.","Run posterior-level percolation and false-vacuum survival checks with uncertainty bands for the preferred region.",output/u1conformal/handoff_fopt.json,"approximations; validation","Percolation_checked is true, but the method remains approximate."
PA09,uncertainty,strong_supercooling,9,false,"best-fit PTA spectra|template validity|GW amplitude","The PTA-preferred points involve very large alpha, sometimes extremely large, so standard beta/H, reheating, and fluid approximations may not be reliably controlled.","Audit posterior samples for supercooling validity, reheating consistency, vacuum domination, and beta/H definition robustness.",output/u1conformal/handoff_pta.json,"template_validity; benchmark_analysis.best_fit_points","Best 14/14 benchmark has alpha about 2.1e6; another has alpha about 2.1e11."
PA10,uncertainty,wall_dynamics,9,false,"GW template normalization|source lifetime|PTA likelihood","Wall velocity, microscopic friction, runaway conditions, and the bulk-flow/dissipative-bulk-flow partition were not computed.","Implement a wall-dynamics module or scan conservative wall/friction regimes and propagate the uncertainty through the PTA spectrum.",output/u1conformal/handoff_pta.json,"warnings; template_validity","bf was selected because dissipative wall-friction inputs are absent."
