id,kind,category,description,severity,controlled,affected_outputs,required_solution,source_file,source_section
A01,assumption,model,"Classical scale invariance: no tree mass; radiative (CW) breaking; required by single-field backend",5,True,"lambda_Phi; m_rho; FOPT spectrum","Structural model choice (validated); breaks if tree mass induced",handoff_critique.json,validation_global_symmetries/validation_tree_level_potential
A02,assumption,model,"Higgs portal lambda_HPhi negligible (<<1e-10) to preserve conformality",6,True,"conformality; FOPT spectrum; thermalization","Enforce <<1e-10; conflicts with thermalization need",handoff_critique.json,validation_lagrangian_terms/fixed
A03,assumption,model,"Kinetic mixing epsilon ~0 for PT/GW dynamics",7,False,"thermalization; dark photon decay; Delta Neff; scalon lifetime","Compute epsilon_min for xi=1 and intersect with bounds",handoff_constraints.json,warnings/C03
A04,assumption,model,"Minimal DM-free single-field model; literature benchmarks include DM Yukawa absent here",4,True,"m_rho; benchmark mapping; relic","Intended minimal model; affects benchmark transfer",handoff_librarian_preliminary.json,benchmark_hints
A05,warning,cosmology,"Internal tension: xi=1 common temperature requires nonzero portal but epsilon and lambda_HPhi set ~0",8,False,"g_*; GW redshift/amplitude; Treh; Delta Neff","Compute epsilon_min reproducing xi=1; verify Neff",handoff_constraints.json,Key physics findings/warnings
A06,assumption,cosmology,"Reheating after PT sets common temperature; Treh is the temperature key for GW redshift",5,True,"f_peak; Omega_GW redshift","Relies on efficient reheating in vacuum-dominated PT",handoff_fopt.json,temperature_key
A07,limitation,fopt,"Gauge dependence of CW+thermal V_eff: order-of-magnitude on Omega_GW; backend uses fixed gauge",8,False,"alpha; beta_H; Treh; Omega_GW","Use gauge-invariant method or quote gauge-variation band",handoff_fopt.json,warnings
A08,approximation,fopt,"No RG running and no daisy resummation; mu=vev",6,False,"V_eff; alpha; beta_H; Treh","Add RG-improvement and daisy/3D-EFT resummation",handoff_fopt.json,warnings/approximations
A09,approximation,fopt,"High-T (small field/T) polynomial expansion of V_eff",5,True,"thermal barrier; Tn; Tp","Valid for small chi/T in strong supercooling; cross-check",handoff_fopt.json,approximations
A10,approximation,fopt,"Gaussian approximation for false-vacuum fraction/percolation",4,True,"Tp; percolation success","Stated valid all regimes; verify for extreme alpha",handoff_fopt.json,approximations
A11,limitation,fopt,"Strong supercooling alpha up to ~1e16; eternal-inflation/percolation failures (8 points)",7,True,"viable window; alpha; Omega_GW norm","Failed points excluded; verify percolation completion",handoff_fopt.json,scan_status_labels
A12,approximation,gw_spectrum,"Template = dissipative bulk flow (dbf, 2511.15687); higgsless sound-wave excluded",6,True,"Omega_GW shape; f_peak; posteriors","dbf physically motivated; residual bf-vs-dbf shape uncertainty",handoff_pta.json,spectrum_template/template_validity
A13,approximation,gw_spectrum,"Kinetic efficiency ksw=1 (vacuum-dominated runaway limit)",5,True,"Omega_GW amplitude","Valid for alpha>>1; revisit high-g_D low-alpha edge",handoff_pta.json,approximations
A14,approximation,gw_spectrum,"dbf amplitude ~1/beta_H^2 with fixed spectral-shape exponents",5,False,"Omega_GW amplitude/shape; posteriors","Cross-check exponents/normalization vs 2511.15687",handoff_pta.json,approximations
A15,prior,inference,"PTArcade priors: log10_v~U(-3,1.70) GeV, g_D~U(0.45,0.90)",4,True,"posteriors; Bayes/MAP","Posterior falls off before edges; log-vs-linear shapes mass posteriors",handoff_pta.json,ptarcade_analysis/priors
A16,uncertainty,inference,"Sampler: ceffyl, N=1e5, acceptance 0.385, single chain; reduced likelihood",5,True,"convergence; credible intervals","Validate convergence (multi-chain GR); ceffyl approximates full likelihood",handoff_pta.json,ptarcade_analysis/campaign
A17,assumption,inference,"Model-only fit (no SMBHB foreground) on NG15; HD common process = new-physics GWB",8,False,"preferred region; Bayes factor; interpretation","Refit including SMBHB foreground; report Bayes factor",handoff_pta.json,ptarcade_analysis
A18,limitation,inference,"Inherited NG15 assumptions: pulsar noise, HD correlations, violin bins, achromatic GWB",5,True,"likelihood; posteriors","Inherent to dataset/tool; document",handoff_pta.json,ptarcade_analysis/campaign
A19,limitation,constraints,"Four high-priority missing calcs: epsilon_min; A' widths/branchings; Delta Neff; scalon relic+decay; gate C02-C09",9,False,"all cosmo/lab constraints; region viability","Run thermalization, decay, Neff, relic modules",handoff_constraints.json,missing_calculations
A20,uncertainty,constraints,"Scalon 11-24 MeV: stable+overclose if epsilon=0, or long-lived (~1e3 s) decay risking BBN/CMB",8,False,"relic density; BBN/CMB bounds; viability","Compute Y_rho,<sigma v>,Gamma_rho,tau_rho,injection epoch",handoff_constraints.json,Key physics findings/C08/C09
A21,uncertainty,cosmology,"Delta Neff from thermalized MeV dark sector (A':3+scalon:1) vs Planck 2.99+/-0.17; strongest xi=1 test",7,False,"xi=1 viability; Treh; region","Compute dark decoupling T, entropy ratio, Delta Neff",handoff_constraints.json,missing_calculations/C02
A22,approximation,constraints,"Collider/beam-dump epsilon bounds and scalon lifetime taken as order-of-magnitude from review/literature, not recast",3,True,"C04/C05/C06/C08 placement","Recast with darkcast/published exclusions once epsilon known",handoff_constraints.json,approximations/warnings
