# Constraint Table for SU2_conformal Model in PTArcade-Preferred Region
# Generated: 2026-06-07
# Model: SU2_conformal
# Region: PTArcade 1-sigma (from ptarcade_bayes.json)
# Parameters: g_D in [0.91, 0.98], v in [0.63, 1.30] GeV
# Derived masses: m_W in [0.29, 0.64] GeV, m_rho in [0.036, 0.086] GeV, m_G in [0.018, 0.043] GeV

id,name,category,applicability_class,constraint_applied,affected_particles,mass_range_GeV_min,mass_range_GeV_max,coupling_parameter,coupling_min,coupling_max,coupling_units,observable,required_inputs,required_observables,available_observables,missing_observables,applicability,applicability_notes,source_arxiv,source_authors,source_verified
"beam_dump_sub_GeV_gauge_boson","Beam dump constraints on sub-GeV dark gauge bosons","beam_dump","requires_recast",FALSE,"W±,W³",0.285,0.636,g_D,0.91,0.98,dimensionless,"Production and decay of dark gauge bosons via kinetic mixing","g_D,v,epsilon","dark gauge boson decay width,dark gauge boson production rate",,"epsilon (kinetic mixing parameter)","NOT_APPLICABLE - Model has no kinetic mixing (epsilon=0)","Model has no SM portal couplings (epsilon=0, lambda_HPhi=0) as per assumptions; Without kinetic mixing or Higgs portal, dark gauge bosons cannot be produced at beam dumps; If portal couplings are added, beam dump constraints would become relevant for m_W ~ 0.3-0.6 GeV","1909.02548","Batell, Essig, Rolbiecki",FALSE
"collider_monoX_sub_GeV","Collider mono-X constraints on sub-GeV states","collider","requires_recast",FALSE,"W±,W³,rho,G",0.036,0.636,,,,,"Invisible decay of dark sector particles","g_D,v,portal_coupling","production cross section,invisible branching ratio",,"portal coupling to SM","NOT_APPLICABLE - No portal couplings in model","Model assumes no portal interactions (lambda_HPhi=0, epsilon=0); Without production mechanism via SM, collider constraints do not apply; If Higgs portal is added, mono-Higgs or VBF+MET searches could constrain","2203.02649","ATLAS, CMS Collaborations",FALSE
"fixed_target_electron_scattering","Fixed-target electron scattering","fixed_target","not_applicable",FALSE,"W±,W³",0.285,0.636,g_D,0.91,0.98,dimensionless,"Electron scattering cross section via kinetic mixing","g_D,epsilon","scattering cross section",,"epsilon","NOT_APPLICABLE - No kinetic mixing","Requires kinetic mixing epsilon > 0 for electron coupling; Model has epsilon=0 by assumption","1902.08181","Essig et al.",FALSE
"dark_matter_relic_abundance","Vector dark matter relic abundance","indirect_detection","directly_testable",FALSE,"W±,W³",0.285,0.636,g_D,0.91,0.98,dimensionless,"Relic abundance Omega h^2","g_D,v,m_W,xi","annihilation cross section,freeze-out temperature",,"annihilation cross section for W+ W- -> scalars","APPROXIMATELY_TESTABLE - Literature discusses non-thermal production mechanism","Literature (2109.11558) finds viable non-thermal vector DM for v ~ 100-10000 GeV; At v ~ 0.6-1.3 GeV, masses are too low for standard freeze-out but non-thermal production from SM bath via scalar portal may still work; Custodial SO(3) symmetry (from SSB pattern) may stabilize vector DM","2109.11558","Borah, Dasgupta, Kang",TRUE
"self_interaction_cross_section","Dark matter self-interaction constraints","indirect_detection","requires_new_backend",FALSE,"W±,W³",0.285,0.636,g_D,0.91,0.98,dimensionless,"Self-interaction cross section sigma/m","g_D,m_W,v","W+ W- -> W+ W- scattering cross section,W W -> rho rho cross section",,"dark sector scattering amplitudes","REQUIRES_NEW_BACKEND - Need to compute dark sector scattering","Vector DM self-interaction via gauge coupling g_D; Cross section ~ g_D^4 / m_W^2 ~ 10^-2 to 1 cm^2/g for PTA region; Galactic constraints: sigma/m < 0.1 cm^2/g; Cluster constraints: sigma/m < 1 cm^2/g; May be relevant for m_W ~ 0.3-0.6 GeV","1804.07071","Tulin, Yu",FALSE
"bbn_light_scalars","BBN constraints on light scalar decays","BBN","requires_new_backend",FALSE,"rho,G",0.0179,0.0855,,,,,"Energy injection during BBN","g_D,v,m_rho,m_G,scalar_lifetime","scalar decay widths,scalar branching ratios",,"scalar decay widths,scalar decay channels","REQUIRES_NEW_BACKEND - Need scalar decay calculations","m_rho ~ 36-86 MeV, m_G ~ 18-43 MeV in PTA-preferred region; BBN constraints apply for lifetimes > 1 second or electromagnetic/strong decays; Without portal couplings to SM, scalars are stable on cosmological timescales; If gravitationally coupled only, decays are negligible; But model may need to check if scalars contribute to N_eff or dark radiation","2111.01844","Depta et al.",FALSE
"neff_dark_radiation","N_eff constraints from CMB","CMB","requires_new_backend",FALSE,"W±,W³,rho,G",0.0179,0.636,g_D,0.91,0.98,dimensionless,"Effective number of neutrino species N_eff","g_D,v,xi,T_reh,m_W,m_rho,m_G","dark sector temperature evolution,decoupling temperature,relic abundance at T_CMB",,"dark sector thermal history,decoupling temperature from SM","REQUIRES_NEW_BACKEND - Need thermal history computation","Model assumes xi=1 (thermal equilibrium with SM); But if dark sector decouples before QCD, xi may differ; FOPT at T_* << v ~ 0.6-1.3 GeV, so after QCD epoch; Dark sector particles with m < T_CMB ~ 10^-4 GeV would contribute to N_eff; In PTA region, all dark particles have m > 18 MeV, so non-relativistic at CMB; But if T_reh > T_CMB, dark sector may be reheated and contribute","1807.06211","Planck Collaboration",TRUE
"structure_formation_free_streaming","Structure formation constraints from free-streaming","structure_formation","approximately_testable",FALSE,"W±,W³",0.285,0.636,,,,,"Free-streaming length, matter power spectrum","m_W,g_D,v,production_mechanism","dark matter velocity distribution,free-streaming length",,"production temperature,velocity distribution","APPROXIMATELY_TESTABLE - Can estimate free-streaming length","m_W ~ 0.3-0.6 GeV corresponds to warm DM regime; Free-streaming length ~ 100 kpc to 1 Mpc for these masses; Lyman-alpha forest constraints: m_W > 1-10 keV for cold DM (well satisfied); Warm DM constraints: m_W > 1-5 keV (well satisfied for m_W ~ 300-600 MeV); No strong structure formation constraints for these masses","1705.08875","Bode, Ostriker, Turok",FALSE
"supernova_energy_loss","Supernova cooling constraints (SN1987A)","supernova","not_applicable",FALSE,"W±,W³,rho,G",0.0179,0.636,,,,,"Energy loss rate, neutrino signal","portal_coupling","production rate in SN core",,"portal coupling to SM","NOT_APPLICABLE - No portal couplings","SN1987A constraints require production via SM interactions; Model has no portal couplings (epsilon=0, lambda_HPhi=0); Dark sector particles cannot be produced in SN core; If produced via kinetic mixing, constraints would be severe for m < 100 MeV","2106.10541","Chang, McDermott, McKellar",FALSE
"stellar_cooling","Stellar cooling constraints (horizontal branch, red giants)","stellar","not_applicable",FALSE,"W±,W³,rho,G",0.0179,0.636,,,,,"Energy loss rate, stellar evolution","portal_coupling","production rate in stellar plasma",,"portal coupling to SM","NOT_APPLICABLE - No portal couplings","Stellar constraints require production via electromagnetic or weak interactions; Model has no portal couplings to SM gauge bosons or fermions; Without portal, dark sector particles cannot be produced in stars","1903.07854","Hardy, Lasenby",FALSE
"collider_exotics_sub_GeV","Collider exotics searches (e.g., LEP, BaBar)","collider","requires_recast",FALSE,"W±,W³,rho,G",0.0179,0.636,,,,,"e+e- -> gamma + invisible","portal_coupling","production cross section",,"portal coupling","REQUIRES_RECAST - Need portal coupling for production","LEP, BaBar searched for light particles in e+e- collisions; Without portal coupling to photons or Z, no production mechanism; With kinetic mixing epsilon, LEP constrains epsilon > 10^-2 for m < 1 GeV","1311.0148","LEP Working Group",FALSE
"cw_validity","Coleman-Weinberg validity and perturbation theory","theory","directly_testable",TRUE,,,,,g_D,0.91,0.98,dimensionless,"beta_lambda, loop corrections","g_D","beta_lambda,loop_expansion_parameter","beta_lambda = 3*g_D^4/(64*pi^2)",,"DIRECTLY_TESTABLE - Can compute from model parameters","g_D ~ 0.91-0.98 is perturbative (g_D^2/4pi ~ 0.07); beta_lambda = 3*g_D^4/(64*pi^2) ~ 0.003-0.004 > 0, valid for CW; Model assumptions include perturbativity: g_D < 4*pi ~ 12.56; PTA region well within perturbative regime","2109.11558","Borah, Dasgupta, Kang",TRUE
"strong_supercooling_validity","Strong supercooling and high-T expansion validity","theory","requires_new_backend",FALSE,,,,,,,"Thermal potential accuracy","g_D,v,T_*,T_c","thermal potential comparison with 3D EFT,nucleation temperature",,"T_c (critical temperature),comparison with 3D EFT results","REQUIRES_NEW_BACKEND - Need 3D EFT validation","PTA-preferred region has alpha >> 0.5 (up to 10^16); High-temperature expansion assumes T ~ v, but T_* << v in supercooling; Literature (2312.12413) notes challenges in EFT description for strong supercooling; 3D EFT (dimensional reduction) may be more accurate but not implemented in backend","2312.12413","Kierkla et al.",TRUE
"template_validity_dbf","GW spectrum template validity (dbf template)","theory","directly_testable",TRUE,,,,,,,"GW spectrum shape","alpha,beta_H,T_*,v_w,cs","alpha,beta_H,v_w,cs","alpha (computed),beta_H (computed)","v_w (bubble wall velocity),cs (sound speed)","DIRECTLY_TESTABLE - Template selected for large alpha","PTA region has alpha >> 0.5 (up to 10^16); dbf (dissipative bulk flow) template from 2511.15687 validated for large alpha; higgsless template only valid for alpha <= 0.5, inappropriate here; bf template also valid but dbf preferred; Backend uses fixed v_w=1.0, cs=1/sqrt(3) - may need validation","2511.15687","Lewicki, Vaskonen",FALSE
