id,name,category,applicability_class,constraint_applied,affected_particles,mass_range_GeV,coupling_range,observable,available_observables,missing_observables,tested_subregion,verdict,source_arxiv
C01,BBN bound on MeV-scale reheating,BBN,direct,True,dark sector/A'/rho,Treh 0.06-0.10,-,Treh,Treh (handoffs),-,Treh 60-100 MeV,allowed (>3 MeV floor),2502.19478
C02,Delta Neff dark radiation (CMB+BBN),Neff,requires_new_backend,False,A'/rho,mA'0.31-0.67;mrho0.011-0.024,xi=1,Delta Neff,xi=1;m_A';m_rho;Treh,Delta Neff;T_dec;entropy ratio,whole region pending,pending - likely most constraining on xi=1,2502.19478
C03,Thermalization / xi=1 justification,thermalization,requires_new_backend,False,A',mA'0.31-0.67,epsilon needed 1e-7..1e-3,Gamma/H at T~m_A',m_A';g_D;Treh,epsilon;Gamma/H;epsilon_min,whole region,internal tension - epsilon must be nonzero,2502.19478
C04,Visible-decay collider (BaBar/KLOE/LHCb/BelleII),collider,recast_needed,False,A',mA'0.31-0.67,epsilon ~3e-4..1e-2,epsilon vs m_A' visible,m_A',epsilon;BR_visible;lifetime,mA'0.31-0.67 epsilon pending,pending - A'->rho rho open weakens visible BR,2603.08430
C05,Electron beam dump (E137/E141/E774),beam_dump,recast_needed,False,A',mA'0.31-0.67,epsilon ~1e-7..1e-4,epsilon vs m_A' long-lived,m_A',epsilon;lifetime;BR_visible,mA'0.31-0.67 epsilon pending,pending - weakened if A' invisible,1406.2698
C06,Invisible/missing-energy (NA64-inv/BaBar),fixed_target,recast_needed,False,A',mA'0.31-0.67,epsilon ~1e-4..1e-3,epsilon vs m_A' invisible,m_A',epsilon;BR_invisible,mA'0.31-0.67 epsilon pending,pending - most relevant since A'->rho rho open,2603.08430
C07,SN1987A energy-loss on dark photon,supernova,not_applicable,False,A',applicable mA'<0.1,epsilon 1e-10..1e-6,SN core energy loss,m_A',-,mA'0.31-0.67 outside reach,not applicable - mass above SN reach,1611.03864
C08,Light scalon decay / late energy injection,BBN,requires_new_backend,False,rho,mrho0.011-0.024,epsilon pending,scalon lifetime/abundance,m_rho,Gamma_rho;tau_rho;Y_rho;epsilon,mrho0.011-0.024 tau pending,pending - long-lived MeV relic risk,2502.19478
C09,Scalon/dark-state relic overabundance,indirect_detection,requires_new_backend,False,rho/A',mrho0.011-0.024,g_D0.508-0.546,Omega h^2,m_rho;m_A';g_D,sigma_v;Omega_rho h2,whole region pending,pending - secluded scalon fate open,2502.19478
C10,Higgs portal / Higgs invisible width,collider,approximate,True,Phi/rho/H,-,lambda_HPhi<1e-10,BR(h->inv),lambda_HPhi<1e-10,-,lambda_HPhi<1e-10,allowed (theory-required << collider reach),2501.11619
C11,Perturbativity of g_D / lambda_Phi,theory,direct,True,A'/rho,-,g_D0.508-0.546,alpha_D=g_D^2/4pi,g_D,-,g_D0.508-0.546,allowed (alpha_D~0.02),1707.06765
C12,Dark photon direct detection (terrestrial),direct_detection,not_applicable,False,A',mA'0.31-0.67,-,DM scattering/absorption,m_A',-,-,not applicable - A' not relic DM,2603.08430
