id,name,category,applicability_class,constraint_applied,affected_particles,mass_range,coupling_range,observable,missing_observables,tested_subregion,source_arxiv
C1,BBN reheating temperature lower bound (SM reheat > few MeV),BBN,approximate,false,Zp;scalon;chi,T_reh 3.7-100 MeV,epsilon 1e-6..1e-3 required,SM T_reh after portal energy transfer,fraction latent heat to SM;Z' lifetime vs H,T_reh 3.7-100 MeV,2502.19478
C2,Kinetic-mixing portal required for thermalization,thermalization,requires_new_backend,false,Zp,m_Zp 0.30-2.17 GeV,epsilon 1e-7..1e-3,Gamma(Z'<->SM)/H,epsilon (set 0 upstream);Z'-SM rate,full region,2502.19478
C3,Delta N_eff from dark sector (dark radiation),Neff,requires_new_backend,false,chi;Zp;scalon,m_chi 0-1.70;m_scalon 0.02-0.11 GeV,epsilon 1e-7..1e-3,Delta N_eff,xi=T_dark/T_SM;scalon&Z' lifetimes,y 0.0-0.12 (massless chi),2502.19478
C4,Dark photon visible-decay limits (BaBar/KLOE/LHCb/NA64),collider,recast_needed,false,Zp,m_Zp 0.30-2.17 GeV,epsilon excl 3e-4..2e-2,e+e->gamma Z'->gamma ll; meson BR,epsilon;Z' decay widths,m_Zp 0.30-2.17 / epsilon 3e-4..2e-2,2603.08430
C5,Beam-dump/fixed-target (E137/CHARM/NA64/nu-Cal),beam_dump,recast_needed,false,Zp,m_Zp 0.30-2.17 GeV,epsilon excl 1e-8..1e-5,displaced Z'->ll yield,epsilon;Z' lifetime,m_Zp 0.30-2.17 / epsilon 1e-8..1e-5,2603.08430
C6,Supernova SN1987A cooling bound on dark photon,supernova,approximate,false,Zp;scalon,m_Zp 0.30-0.5 GeV,epsilon excl 1e-10..1e-6,SN neutrino-burst duration,epsilon,m_Zp 0.30-0.5 / epsilon 1e-10..1e-6,1611.03864
C7,Dark fermion chi relic abundance / overclosure,cosmology_relic,requires_new_backend,false,chi;Zp;scalon,m_chi 0.1-1.70 GeV,g_D 0.53-0.78;y 0.0-0.85,Omega_chi h^2,<sigma v>;Boltzmann relic,y 0.12-0.85,2502.19478
C8,DM direct detection (epsilon-mediated chi scattering),direct_detection,requires_new_backend,false,chi;Zp,m_chi 0.1-1.70 GeV,epsilon 1e-6..1e-3;g_D 0.53-0.78,DM-nucleon/electron sigma,epsilon;DM fraction f_chi,y 0.12-0.85,2603.08430
C9,Light scalon decay/lifetime (BBN injection),BBN,requires_new_backend,false,scalon,m_scalon 0.02-0.11 GeV,epsilon 1e-6..1e-3;lambda_portal small,scalon lifetime & abundance,scalon width;abundance;lambda_portal,m_scalon 0.02-0.11 GeV,2502.19478
C10,Perturbativity/triviality & vacuum stability (beta_lambda>0),theory,direct,true,Zp;chi;scalon,n/a,g_D 0.53-0.78;y 0.0-0.85,perturbativity; beta_lambda>0,none,g_D 0.53-0.78 / y 0.0-0.85,internal
C11,Percolation / no eternal inflation,theory,direct,true,scalon,n/a,alpha 1e8..1e16;beta_H 12..24,percolation & eternal-infl checks,none,alpha 1e8..1e16,internal(handoff_fopt)
C12,Higgs invisible/exotic decay (Higgs portal),collider,not_applicable,false,scalon,m_scalon 0.02-0.11 GeV,lambda_portal=0,BR(h->inv);Higgs signal strengths,none (portal off),n/a,internal
