id,kind,category,severity,controlled,description,affected_outputs,required_solution,source_file,source_section,source_note
minimal_field_content,assumption,model_building,6,False,"Only one scalar doublet (Phi) and SU(2)_D gauge bosons; no additional fields (fermions, extra scalars)","FOPT dynamics|GW spectrum|parameter space","Add additional fields to test robustness",output/SU2_conformal/handoff_model.json,assumptions,"Simplifies dynamics but may limit parameter space and physical realism"
no_portal_interactions,assumption,model_building,9,False,"SM-Higgs portal (lambda_HPhi |H|^2 |Phi|^2) and gauge kinetic mixing (epsilon/2 F F') neglected for FOPT dynamics","FOPT temperature|GW spectrum|cosmology|phenomenology","Include portal couplings and study their impact on FOPT and GW signal",output/SU2_conformal/handoff_model.json,assumptions,"FOPT analysis is for dark sector only; portal effects could modify transition. Makes model secluded."
classical_conformal_invariance,assumption,model_building,8,False,"Scalar potential has only quartic term at tree level: V = -lambda (Phi^dagger Phi)^2, classically scale-invariant","CW mechanism|mass generation|FOPT dynamics","Consider explicit mass terms or other symmetry-breaking patterns",output/SU2_conformal/handoff_librarian_preliminary.json,papers[0].assumptions,"Mass scales generated radiatively via CW mechanism. Defines the conformal model class."
custodial_symmetry,assumption,model_building,5,True,"Accidental SO(3) custodial symmetry of scalar potential protects vector DM stability",dark matter stability,"Explicitly verify custodial symmetry and its implications",output/SU2_conformal/handoff_model.json,global_symmetries,"Explicitly unbroken in model definition. May stabilize vector DM candidates."
unspecified_DM_candidate,limitation,model_building,5,False,"Model does not specify dark matter candidate; literature assumes vector DM from SU(2)_D gauge bosons","DM phenomenology|model interpretation","Explicitly state DM candidate and production mechanism",output/SU2_conformal/handoff_model.json,notes,"Literature (2109.11558) discusses vector DM from non-thermal production"
thermal_equilibrium_dark,assumption,theoretical,7,True,"Dark sector is in thermal equilibrium with itself","thermal effective potential|nucleation rate","Verify thermalization conditions for all parameter space",output/SU2_conformal/handoff_model.json,assumptions,"Validates use of thermal effective potential"
coupled_to_SM_thermally,assumption,theoretical,8,False,"Dark sector temperature T_D = T_SM (xi = 1), assumed thermal equilibrium with SM bath","Hubble rate|g_star|FOPT temperature|GW spectrum","Study impact of xi != 1 on cosmology and GW predictions",output/SU2_conformal/handoff_model.json,parameter_basis.fixed,"Determines g_star for Hubble rate calculation. Fixed at xi=1 without justification of coupling mechanism."
boson_dominated_CW,assumption,theoretical,5,True,"Boson loops dominate CW beta function; scalar self-coupling contribution to beta_lambda is subdominant compared to gauge sector","CW relation|lambda determination|pseudo-dilaton mass","Include scalar loop corrections to beta_lambda for completeness",output/SU2_conformal/handoff_model.json,assumptions,"Simplifies CW relation to beta_lambda = 3*g_D^4/(64*pi^2). Valid for g_D not too small."
strong_supercooling,assumption,theoretical,7,False,"Phase transition occurs at temperatures T << v (strong supercooling regime)","high-T expansion validity|FOPT dynamics|GW spectrum","Validate approximations in supercooled regime; consider 3D EFT methods",output/SU2_conformal/handoff_model.json,assumptions,"Justifies high-T expansion approximation in pipeline. alpha >> 0.5 in PTA-preferred region."
prior_g_D_model,prior,parameter_range,3,True,"SU(2)_D gauge coupling range: g_D in [0.01, 12.56] justified by perturbativity (g_D < 4pi)","FOPT strength|perturbative calculations","Extend to non-perturbative regime if needed",output/SU2_conformal/handoff_model.json,free_parameters[0],"Standard perturbativity bound; upper limit not tested in actual scans."
prior_v_model,prior,parameter_range,4,False,"Vacuum expectation value range: v in [100, 1e6] GeV, justified by FOPT temperature range for PTA signal","GW frequency|mass scale","Reconcile with PTA-preferred range v ~ 0.6-1.3 GeV",output/SU2_conformal/handoff_model.json,free_parameters[1],"Original model range differs from PTA-preferred region by orders of magnitude."
prior_g_D_fopt,prior,parameter_range,4,False,"FOPT scan used g_D range [0.5, 3.0], narrower than model range [0.01, 12.56]","FOPT scan coverage|parameter space exploration","Extend scan to full model range or justify truncation",output/SU2_conformal/handoff_fopt.json,model_parameter_ranges,"Scan range chosen for practical reasons; may miss viable regions at low g_D."
prior_v_fopt,prior,parameter_range,7,False,"FOPT scan used v range [0.01, 10] GeV, much lower than original model range [100, 1e6] GeV","GW frequency|FOPT temperature|PTA signal matching","Justify discrepancy with original model motivation; validate low-v regime",output/SU2_conformal/handoff_fopt.json,warnings[0],"Lower v range was necessary to obtain f_peak in PTA frequency band. Changes mass scale significantly."
prior_pta_campaign,prior,parameter_range,3,True,"PTArcade used log-uniform priors: log10_g_D in [-0.3010, 0.4771], log10_v_GeV in [-2.0, 1.0]","Bayesian inference|PTA parameter constraints","Test sensitivity to prior choice",output/SU2_conformal/handoff_pta.json,ptarcade_analysis.prior_parameter_basis,"Standard choice for Bayesian parameter inference in PTA analysis."
approx_high_T_expansion,approximation,computational,8,False,"High-temperature expansion for thermal effective potential (valid in small field/T regime)","thermal potential|nucleation rate|Tn|Tp","Implement 3D EFT (dimensional reduction) for supercooled transitions; validate high-T expansion in strong supercooling regime",output/SU2_conformal/handoff_fopt.json,approximations[0],"May break down in strong supercooling regime (T_* << v) where alpha >> 0.5. Literature (2312.12413) discusses NLO corrections."
approx_gaussian_percolation,approximation,computational,6,False,"Gaussian approximation for false vacuum fraction and percolation condition","percolation temperature|FOPT completion","Use exact percolation criterion or numerical simulations",output/SU2_conformal/handoff_fopt.json,approximations[1],"Standard approximation in semi-analytic pipelines; accuracy unclear for strong transitions"
approx_fixed_renormalization,approximation,computational,7,False,"Fixed renormalization scale mu = v (no RG running of couplings)","beta_lambda|thermal potential|FOPT parameters","Implement RG running and study scale dependence; compare with literature (2210.07075)",output/SU2_conformal/handoff_fopt.json,approximations[2],"Literature uses RG-improved effective potential. Scale dependence may affect results."
approx_no_daisy,approximation,computational,7,False,"No Daisy resummation for thermal masses","thermal masses|effective potential|nucleation rate","Implement Daisy resummation for thermal masses; validate impact on phase transition",output/SU2_conformal/handoff_fopt.json,approximations[3],"Daisy resummation is particularly important for strongly supercooled transitions (2312.12413)."
approx_CW_automatic,approximation,computational,5,True,"Automatic scalar contribution via CW mechanism (lambda from beta_lambda = 3*g_D^4/(64*pi^2))","lambda value|pseudo-dilaton mass|potential shape","Verify CW relation matches literature and backend implementation",output/SU2_conformal/handoff_fopt.json,approximations[4],"CW mechanism is central to conformal model; implementation verified against backend."
approx_bulk_flow_template,approximation,computational,6,False,"Bulk flow/dissipative bulk flow (dbf) GW spectrum template assumes specific wall velocity (vw=1.0) and sound speed (cs=1/sqrt(3))","GW spectrum shape|amplitude","Study dependence on wall velocity and sound speed; validate template for alpha >> 0.5",output/SU2_conformal/handoff_pta.json,approximations[5],"dbf template from 2511.15687 selected as validated for large alpha values"
