id,kind,category,description,severity,controlled,affected_outputs,required_solution,source_file,source_section
A-001,assumption,model_building,"Classical scale invariance at tree level: no dimensionful parameters in Lagrangian. Scale breaking purely radiative via CW mechanism.",3,true,"Entire FOPT computation, GW spectrum prediction","Already verified by critic-agent. Remains controlled as long as higher-order operators do not reintroduce dimensionful parameters.","handoff_model.json","lagrangian_terms"
A-002,assumption,model_building,"No fermionic dark matter in the dark sector. Only new particles are complex scalar Phi and gauge boson A'.",4,true,"Constraint analysis, Dark matter phenomenology","Deliberate model choice. Adding fermions would change CW beta function and affect FOPT parameters.","handoff_model.json","particle_content"
A-003,assumption,model_building,"Portal couplings (epsilon, lambda_HPhi) unspecified and 'assumed small' but not quantified.",8,false,"Constraint analysis (19/23 constraints), Thermalization, BBN/CMB, Delta N_eff","Specify numerical bounds for epsilon and lambda_HPhi. Compute thermalization rate, decay widths, branching fractions. Most impactful missing information.","handoff_model.json","free_parameters"
A-004,assumption,model_building,"xi = T_dark/T_SM = 1 hardcoded. Dark and visible sectors fully thermalized at same temperature.",8,false,"FOPT parameters, GW spectrum, Delta N_eff, Reheating","Li & Nath (2026, arXiv:2602.14324) show xi as dynamical variable changes GW by up to 4 orders of magnitude. xi=1 gives Delta N_eff~0.57 > Planck bound. Scan xi or implement synchronous evolution.","handoff_model.json","free_parameters"
A-005,assumption,model_building,"Portals simultaneously small for FOPT but large enough for thermalization (xi=1). Unresolved quantitative tension.",9,false,"Model viability, xi=1 assumption, Delta N_eff","Quantify required epsilon for MeV-scale thermalization (>=1e-10). Check consistency with 'small for FOPT'. Compare with BBN lower bound eps > 1e-9 to 1e-8 from Coy et al. (2025).","handoff_critique.json","warnings"
A-006,assumption,model_building,"No tree-level cross-quartic with SM Higgs. FOPT potential is purely dark-sector, with small lambda_HPhi portal.",3,false,"FOPT parameters, Effective potential shape","Consistent with dark-sector-focused analysis. If lambda_HPhi were large, it would modify vacuum structure.","handoff_model.json","lagrangian_terms"
A-007,approximation,cw_mechanism,"One-loop CW approximation with fixed-scale logs at chi=chi0 (vev), no RG improvement.",7,false,"FOPT parameters (alpha, beta/H, Tn, Tp, Treh), GW spectrum","Christiansen et al. (2025, arXiv:2511.02910) show proper RG running essential. 4D HT+Daisy at mu=pi T matches 2-loop 3D EFT. Fixed-scale at chi=chi0 may differ quantitatively.","handoff_fopt.json","approximations"
A-008,approximation,cw_mechanism,"Daisy resummation via Arnold-Espinosa scheme (standard). No 3D EFT used.",3,true,"FOPT parameters, Finite-T effective potential","Standard and widely used. 3D EFT methods more rigorous but consistent when RG scale = pi T (arXiv:2511.02910). Controlled for current precision.","handoff_fopt.json","approximations"
A-009,approximation,fopt_computation,"High-temperature expansion (small chi/T) for thermal effective potential. Validity near limits for extreme supercooling.",5,false,"FOPT parameters for most supercooled points","High-T expansion valid for m/T << 1. But for alpha~10^11-10^15, T~10^-6 GeV, m_A'/T~O(100-1000), expansion is near/far beyond validity. Low-T expansion or full numerical evaluation needed.","handoff_fopt.json","approximations"
A-010,approximation,fopt_computation,"Gaussian approximation for false vacuum fraction / nucleation rate.",4,false,"beta/H value, Nucleation and percolation temperatures","Standard for most transitions. For extreme supercooling, arXiv:1611.05853 shows exponential rate approximation can break down. Current beta/H~17-35 positive, suggesting validity. R* approach would cross-check.","handoff_fopt.json","approximations"
A-011,approximation,fopt_computation,"beta/H parameterization for inverse duration. Assumes exponential nucleation regime.",7,false,"GW spectrum amplitude and peak frequency, Mean bubble separation","For ultra-strong supercooling (alpha>>1), R* ~ (8pi)^(1/3)v_w/beta breaks down. beta/H can become negative (arXiv:2003.08892, arXiv:2602.14324). Proper R* = n_b^{-1/3} needed.","handoff_librarian_preliminary.json","theory_uncertainties"
