id,name,category,applicability_class,constraint_applied,affected_particles,observable,required_observables,available_observables,missing_observables,units,conventions,applicability,tested_subregion,notes,source_title,source_arxiv_id
C01,Delta N_eff from dark radiation,Neff,requires_new_backend,FALSE,"W^a_mu, Phi",Delta N_eff,"Delta N_eff estimate for 13 bosonic dof + thermal history","dof: 13 bosonic (4 scalar + 9 vector)","Dark sector temperature ratio xi=T_D/T_SM at BBN/CMB, Thermalization history","Delta N_eff (dimensionless)","Bound: Delta N_eff < 0.18 (two-sided, 95% CL) or <0.226 (one-sided). Planck-only: <0.28. BBN-only: <0.74.","Affects full PTA-preferred region if xi > 0.4. But minimal model has no SM coupling for thermalization.","Parameter: xi = T_D/T_SM. Condition: affected if xi > (0.18/0.64)^{1/4} ~ 0.4.","Bringmann et al. (2306.09411) found stable dark sectors strongly disfavored for PTA. Need to compute FOPT reheating to dark sector vs SM.","Probing Physics Beyond the Standard Model: Limits from BBN and the CMB Independently and Combined","2207.13133"
C02,BBN bound on percolation/reheating temperature,BBN,direct,FALSE,"W^a_mu, Phi",Percolation temperature T_p,"T_p, T_reh from FOPT scan","T_p, T_reh already in fopt_benchmarks.csv","Dependence on whether dark sector energy goes to SM or stays in DS","T_p (GeV), T_reh (GeV)","Bound: T_reh > 3 MeV for alpha~1 (Bai & Korwar 2022). Minimal: T_p > 1 MeV.","Best 14/14 points (T_reh~40-50 MeV) safe. MAP point (T_reh~14.5 MeV) safe. Some low-T_p scan points marginal.","Parameter: T_p. Condition: T_p > 1 MeV (minimal), T_reh > 3 MeV for strong transitions. Full PTA-preferred region safe.","Even in secluded sector, FOPT energy affects Hubble rate during BBN. Already computed in pipeline.","BBN constraints on MeV-scale phase transitions","2109.14765"
C03,Dark matter overproduction from stable gauge bosons,other,recast_needed,FALSE,W^a_mu,"Omega_DM h^2 (relic abundance)","Relic abundance for m_W~0.26-0.58 GeV, g~0.86","m_W = g*chi0/2 computed","Annihilation cross section, Boltzmann solution, portal coupling (if any)","Omega_DM h^2 (dimensionless)","Observed: Omega_DM h^2 = 0.12 (Planck 2018)","Full PTA-preferred region affected. Gauge bosons stable with custodial symmetry; standard freeze-out vastly overproduces.","Parameter: portal coupling. Condition: overproduction unless freeze-in via tiny portal (lambda_2~10^{-9} like Borah et al.) or efficient annihilations.","Frandsen et al. (2301.00041): minimal SU(2) VDM requires m_V > 7.5 TeV for standard freeze-out. Sub-GeV case requires freeze-in.","Minimal SU(2) vector dark matter","2301.00041"
C04,Self-interacting dark matter constraints (structure formation),structure_formation,requires_new_backend,FALSE,W^a_mu,"sigma_T/m (transfer cross section per unit mass)","Transfer cross section for W^+W^- scattering at relevant velocities","m_W, g from parameters","Non-perturbative sigma_T/m calculation including Sommerfeld enhancement","sigma_T/m (cm^2/g)","Cluster bound: sigma/m < 0.35 cm^2/g. Bullet Cluster: <1.25 cm^2/g. Dwarf needed: 1-10 cm^2/g.","If gauge bosons are DM, self-interaction expected to be strong (sigma ~ g^4/m_W^2).","Parameter: DM fraction f_DM. Condition: constrained only if W bosons are DM (f_DM > ~0.01).","Sub-leading to C03 (DM overproduction). Need relic abundance calculation first.","Velocity-dependent Self-interacting Dark Matter from Groups and Clusters of Galaxies","2006.12515"
C05,Fifth force / equivalence principle constraints on light scalar,other,not_applicable,FALSE,"Phi (radial mode)",Eotvos parameter eta,"Higgs-dilaton mixing angle","m_chi = sqrt(beta_lambda)*chi0","Mixing angle with SM Higgs (zero in conformal limit)","eta (dimensionless)","MICROSCOPE: eta < 2 x 10^{-15} for m < 10^{-12} eV. Cassini: |gamma-1| < 2.3 x 10^{-5}.","NOT APPLICABLE: (1) m_chi ~ MeV too heavy for lab tests (range ~10^{-11} cm). (2) Conformal dilaton has no SM coupling at tree level.","Parameter: m_chi. Condition: not applicable for any PTA-preferred point (m_chi > 10^{-12} eV).","Damour-Donoghue (2010): purely spontaneous scale breaking gives zero coupling to matter.","Equivalence Principle Violations and Couplings of a Light Dilaton","1007.2792"
C06,Perturbativity bound on gauge coupling,theory,direct,TRUE,"W^a_mu, Phi",Gauge coupling g,g (already a free parameter),g directly available,None,g (dimensionless),"g < 4*pi ~ 12.6 or g^2/(4*pi) < 1 => g < 3.5","Trivially satisfied. PTA-preferred g in [0.85,0.91] well within perturbative regime.","Parameter: g. Condition: g < 3.5. Full region satisfies.","Needed for one-loop CW calculation validity.","Standard perturbativity bound",null
C07,CMB constraints on dark matter annihilation,CMB,recast_needed,FALSE,W^a_mu,"p_eff = f_c * <sigma v> / m_chi","Annihilation cross section to SM, branching ratios, energy deposition efficiency","m_W from parameters","Annihilation cross section to SM (requires portal), f_c for MeV-GeV DM","p_eff (cm^3 s^{-1} GeV^{-1})","Planck: p_eff < 3.2 x 10^{-28} cm^3/s/GeV (Slatyer 2016). Thermal target: <sigma v> ~ 3 x 10^{-26} cm^3/s.","Applies only if gauge bosons are DM with s-wave annihilation to SM via a portal. Minimal model lacks this portal.","Parameter: portal coupling and DM mass. Condition: constrains if Omega_W ~ Omega_DM and has SM annihilation channel.","Borah et al. freeze-in (lambda_2~10^{-9}) gives negligible annihilation, evading CMB constraints.","Indirect dark matter signatures in the cosmic dark ages","1210.6845"
C08,Supernova cooling constraints on light dark sector particles,supernova,recast_needed,FALSE,"Phi (radial mode), W^a_mu",Energy loss rate in proto-neutron star,"Production cross section in SN core, trapping optical depth, portal coupling","Masses from model parameters","Portal coupling to SM (determines production), scattering cross section in nuclear matter","epsilon (erg/g/s), L (erg/s)","SN1987A: L_new < 3 x 10^{52} erg/s (Raffelt criterion)","Gauge bosons (m_W~0.26-0.58 GeV) heavier than T_SN~30 MeV: production Boltzmann-suppressed. Radial mode (m_chi~38-89 MeV) marginal.","Parameter: m and portal coupling. Condition: constrained only if m < T_SN AND portal exists. m_chi~38-89 MeV near/above T_SN.","Chang et al. (2017 JHEP) detailed SN bounds on dark photons. Caputo et al. (2025 PRL) new shock-revival constraints for m~0.1-0.4 MeV.","Supernova bounds on the dark photon using its electromagnetic decay","1410.0221"
C09,Dark sector thermalization: Higgs portal constraints,thermalization,recast_needed,FALSE,"Phi, W^a_mu","Higgs invisible BR, DM-nucleon cross section, collider production","BR(h->inv), sigma_SI(DM-nucleon), portal coupling","Particle masses (m_chi, m_W)","Portal coupling (not in minimal model), mixing angle","BR_inv (dim.), sigma_SI (pb)","ATLAS: BR(h->inv) < 0.11 (95% CL). LZ: sigma_SI < 10^{-10} pb for m_DM~30 GeV.","Minimal model has NO portal. Borah et al. add lambda_2~10^{-9}, safely below all constraints. Larger portal for decays would be constrained.","Parameter: portal coupling. Condition: for lambda_2~10^{-9} all constraints evaded. Larger portals need evaluation.","Thermalization rate Gamma ~ lambda_2^2 T. lambda_2 < 10^{-6} prevents thermalization.","A first order dark SU(2)_D phase transition with vector dark matter","2109.11558"
C10,Eternal inflation bound on supercooling,theory,direct,TRUE,"W^a_mu, Phi","Gamma/H^4 (bubble nucleation rate per Hubble volume)",Gamma/H^4 > 1 condition,Already computed in FOPT/PTA pipeline,None,Gamma/H^4 (dimensionless),"Condition: Gamma/H^4 > 1 to avoid eternal inflation (Guth 2007)","Already checked by FOPT pipeline. PTA-preferred region survives. 14/1660 low-chi0 scan points excluded.","Parameter: Gamma/H^4. Condition: Gamma/H^4 > 1 required. PTA-preferred region safe.","Eternal inflation filter applied to FOPT scan. All MAP and best-fit points satisfy this.","Eternal inflation and its implications",null
