id,kind,category,severity,controlled,affected_outputs,description,required_solution,source_file,source_section
A01,assumption,portal,8,false,"constraint applicability; thermal history; laboratory limits; BBN/CMB interpretation","The backend fixes hypercharge-dark kinetic mixing exactly to epsilon=0, removing visible dark-photon production and decay channels from the analysis.","Either justify exact epsilon=0 as a protected model assumption or add a nonzero-epsilon portal/decay/thermalization scan and recast visible and invisible dark-photon constraints.",output/conformal_u1_dark_fopt/handoff_model.json,parameter_basis.fixed
A02,assumption,portal,8,false,"constraint applicability; thermal history; dark scalar lifetime; laboratory limits","The backend fixes the Higgs portal exactly to lambda_HP=0, removing scalar mixing, visible scalar decays, and SM thermal contact from the workflow.","Either justify exact lambda_HP=0 as part of the model definition or implement portal-dependent scalar mixing, decay widths, and thermalization checks.",output/conformal_u1_dark_fopt/handoff_model.json,parameter_basis.fixed
A03,warning,PTArcade prior,7,true,"PTArcade MAP; posterior interpretation; mass and beta_lambda inference","The PTArcade MAP estimate sits at the physical lower boundary y_D=0, so the posterior should not be interpreted as evidence for an interior Yukawa preference.","Report y_D as boundary-sensitive and rerun only if a different prior, one-sided interval treatment, or profile-likelihood boundary analysis is needed.",output/conformal_u1_dark_fopt/ptarcade_bayes.json,map_est
A04,prior,PTArcade prior,5,true,"PTArcade posterior; credible regions; MAP comparison","PTArcade uses a log-uniform prior for v_D over 10^-3.5 to 10 GeV and uniform priors for g_D and y_D; posterior summaries depend on this prior volume.","Perform prior-sensitivity reruns only if quantitative model comparison or robust parameter inference is required.",output/conformal_u1_dark_fopt/handoff_pta.json,ptarcade_analysis.priors
A05,warning,physical mask,8,false,"1-sigma region interpretation; m_chi estimates; constraint-region mapping; Coleman-Weinberg validity","The rectangular PTArcade 1-sigma region contains beta_lambda<0 corners, so rectangular mass ranges include unphysical Coleman-Weinberg points unless a beta_lambda>0 mask is enforced.","Apply the beta_lambda>0 mask directly to posterior samples and quote masked credible regions instead of independent rectangular corners.",output/conformal_u1_dark_fopt/handoff_constraints.json,input_region.derived_masses.beta_lambda_corner_range
A06,approximation,FOPT backend,7,false,"alpha; beta/H; Tn; Tp; Treh; PTA spectrum","The FOPT calculation uses the semianalytic conformal single-field small-field/high-temperature polynomial backend rather than a full finite-temperature effective potential and bounce pipeline.","Cross-check key posterior and benchmark points with a full finite-temperature potential and bounce/percolation calculation.",output/conformal_u1_dark_fopt/handoff_fopt.json,approximations
A07,approximation,percolation,8,false,"viability of strongest PTA points; Treh; false-vacuum completion; GW amplitude","Percolation and completion are treated with an approximate backend diagnostic, while several accepted points are strongly supercooled with very large alpha.","Implement robust completion, vacuum-domination, reheating, and wall-velocity diagnostics for the preferred region and 14/14 benchmark points.",output/conformal_u1_dark_fopt/handoff_constraints.json,constraints.C11
A08,caveat,GW template,7,false,"benchmark spectra; PTArcade likelihood; peak amplitude; spectral shape","The PTA analysis uses the DBF spectrum template as the closest supported template, but its validity is not strict for very strong or supercooled transitions.","Compare against templates or simulations valid for runaway/supercooled transitions, or explicitly restrict interpretation to qualitative PTA compatibility.",output/conformal_u1_dark_fopt/handoff_pta.json,template_validity
A09,limitation,thermal history,8,false,"BBN applicability; CMB Delta N_eff; thermalization; cosmological viability","No BBN/CMB/Delta N_eff thermal-history calculation is present for the zero-portal hidden sector, including temperature ratio, decoupling, abundances, or lifetimes.","Add a thermal-history module computing dark-sector temperature ratio, decoupling, entropy transfer, abundances, and lifetimes through BBN and recombination.",output/conformal_u1_dark_fopt/handoff_constraints.json,missing_calculations
A10,limitation,dark matter,7,false,"dark matter interpretation; CMB energy injection; relic abundance; constraint applicability","The workflow does not establish dark fermion stability or relic abundance, so dark-matter and CMB energy-injection interpretations remain unresolved.","Specify the stability symmetry and compute Boltzmann relic abundance, annihilation channels, and dark-sector temperature dependence.",output/conformal_u1_dark_fopt/handoff_constraints.json,constraints.C09
A11,limitation,self-interactions,6,false,"structure-formation constraints; SIDM interpretation; dark matter viability","Velocity-dependent self-interaction constraints cannot be applied without a stable DM assignment, relic fraction, and transfer/viscosity cross sections.","Compute self-interaction cross sections over dwarf, Milky Way, and cluster velocity scales after fixing DM identity and abundance.",output/conformal_u1_dark_fopt/handoff_constraints.json,constraints.C10
A12,limitation,RG validity,7,false,"Coleman-Weinberg validity; perturbativity; UV interpretation; beta_lambda stability","No RG running, Landau-pole scale, loop-expansion stability, or scale-variation calculation was performed for the Coleman-Weinberg model.","Implement RG running and Landau-pole checks for g_D, y_D, and lambda_D over the quoted posterior region.",output/conformal_u1_dark_fopt/handoff_constraints.json,missing_calculations
