id,name,category,applicability_class,constraint_applied,affected_particles,observable,available_observables,missing_observables,applicability,tested_subregion,source_title,arxiv_id,citation_verified
C01,BBN expansion and dark radiation from hidden sector,BBN,requires_new_backend,false,"Phi; chi; X_mu; psi_degenerate_majorana_pair","Delta N_eff during BBN; hidden-sector temperature ratio; abundances and lifetimes","PTArcade 1sigma parameters; FOPT Treh/T_star benchmarks","dark-sector temperature ratio; decoupling temperature; species abundances; decay widths/lifetimes","Relevant because the FOPT occurs around T~0.04-0.14 GeV and particles are MeV-GeV scale, but no thermal-history module maps the zero-portal hidden sector to BBN observables.","v_D=0.652-1.395 GeV; m_X=0.340-0.878 GeV; m_psi=0.055-0.695 GeV; m_chi~0.034-0.108 GeV where beta_lambda>0","BBN constraints on MeV-scale dark sectors. Part I. Sterile decays",1712.03972,true
C02,BBN electromagnetic entropy injection and photodisintegration,BBN,not_applicable,false,"X_mu; chi","electromagnetic decay lifetime; EM branching ratio; injected abundance","epsilon=0; lambda_HP=0","none for exact-zero portal; would need decay widths if portal opened","Published EM-decay bounds assume decays into photons/electrons or other SM electromagnetic final states. With exact epsilon=0 and lambda_HP=0 in the backend, no SM EM decay channel is specified.","same preferred mass region; no SM EM coupling","BBN constraints on MeV-scale dark sectors. Part II. Electromagnetic decays",1808.09324,true
C03,CMB Delta N_eff / extra relativistic energy density,Neff,requires_new_backend,false,"hidden-sector radiation; possible light remnants","Delta N_eff at recombination; temperature ratio; relativistic degrees of freedom","model particle content; preferred parameter region","dark-sector temperature ratio at neutrino decoupling/recombination; stable relativistic content","Planck-type Neff constraints are directly relevant only after computing the hidden-sector radiation density. The current handoffs do not provide this observable.","PTArcade 1sigma region; no computed Delta N_eff","Cosmological constraints in extended parameter space from the Planck 2018 Legacy release",1908.01391,true
C04,CMB energy injection from annihilation/decay,CMB,recast_needed,false,"psi_degenerate_majorana_pair; X_mu; chi","p_ann or decay energy injection into SM final states","masses and couplings internal to dark sector; epsilon=0; lambda_HP=0","relic abundance; annihilation cross sections; branching ratios to SM; Sommerfeld enhancement if applicable","CMB energy-injection bounds on light-mediator dark matter require stable DM abundance and SM-visible final states. Exact-zero portals make direct application unavailable; dark-only annihilation would need a model-specific recast.","m_psi=0.055-0.695 GeV; mediator masses from preferred region","Strong constraints on self-interacting dark matter with light mediators",1612.00845,true
C05,Thermalization and decoupling between dark and visible sectors,thermalization,requires_new_backend,false,"Phi; X_mu; psi_degenerate_majorana_pair; SM bath","Gamma/H for portal interactions; decoupling temperature; initial temperature ratio","lambda_HP=0; epsilon=0","initial condition for dark-sector temperature; gravitational or unspecified reheating coupling; portal rate if nonzero","With zero portal couplings the backend does not thermalize the dark and SM sectors by construction, but the FOPT calculation implicitly uses a dark-sector temperature. Cosmological constraints need the temperature-ratio history.","full preferred region","US Cosmic Visions: New Ideas in Dark Matter 2017: Community Report",1707.04591,true
C06,Dark photon visible searches in MeV-GeV range,beam_dump,not_applicable,false,"X_mu","kinetic mixing epsilon; visible decay branching ratios; production cross section","m_X=0.340-0.878 GeV; epsilon=0","none for exact-zero epsilon; recast if epsilon is relaxed","Beam-dump, fixed-target, flavor and collider dark-photon limits in this mass range assume nonzero kinetic mixing with SM electromagnetic/hypercharge current. The validated backend fixes epsilon exactly zero.","m_X overlaps MeV-GeV dark photon searches, but epsilon=0","The Dark Photon",2005.01515,true
C07,Dark photon invisible / dark matter mediator searches,collider,not_applicable,false,"X_mu; psi_degenerate_majorana_pair","kinetic mixing epsilon; invisible branching ratio; production cross section","m_X and m_psi ranges; epsilon=0","none for exact-zero epsilon; recast if epsilon opened","Invisible mediator searches still require SM production through kinetic mixing or another visible portal. Exact epsilon=0 removes the production assumption.","m_X=0.340-0.878 GeV; possible X->psi psi only in subregions if kinematically open","The Dark Photon",2005.01515,true
C08,Dark scalar Higgs-portal laboratory constraints,direct_detection,not_applicable,false,"chi; Phi","Higgs portal lambda_HP; scalar mixing angle; visible decay widths","m_chi estimate where beta_lambda>0; lambda_HP=0","none for exact-zero portal; scalar decay widths if portal opened","Higgs exotic decays, beam dumps and direct-detection scalar-mediated bounds require Higgs/scalar mixing or another SM portal. Backend fixes lambda_HP exactly zero.","m_chi~34-108 MeV in beta_lambda-positive 1sigma subregion","Minimal self-interacting dark matter models with light mediator",1912.11708,true
C09,Dark fermion relic abundance,indirect_detection,requires_new_backend,false,"psi_degenerate_majorana_pair","Omega_psi h^2; annihilation cross sections; stability symmetry","m_psi range; g_D/y_D ranges","stability assignment; Boltzmann calculation; annihilation channels; dark-sector temperature ratio","The handoffs do not establish whether the degenerate Majorana pair is stable or constitutes all/part of dark matter. Relic constraints cannot be applied from mass alone.","m_psi=0.055-0.695 GeV; y_D MAP caveat at boundary","Minimal self-interacting dark matter models with light mediator",1912.11708,true
C10,Dark fermion self-interactions and structure formation,structure_formation,recast_needed,false,"psi_degenerate_majorana_pair; X_mu; chi","sigma_T/m versus velocity; halo abundance; mediator spectrum","masses and dark couplings in preferred region","transfer/viscosity cross sections; relic fraction; velocity-dependent averaging; stable DM assumption","Light mediator self-interactions may be relevant, but applying Bullet Cluster/halo bounds needs the DM identity, abundance fraction and velocity-dependent cross section.","m_psi~0.055-0.695 GeV; m_X~0.340-0.878 GeV; m_chi sub-0.11 GeV where physical","Minimal self-interacting dark matter models with light mediator",1912.11708,true
