id,kind,category,severity,controlled,description,affected_outputs,required_solution,source_file,source_section
A01,limitation,cosmology/portal,9,False,"Missing SM portal: secluded model but xi=1 assumed; kinetic mixing forbidden in pure SU(2)_D, Higgs portal breaks conformal invariance; gates BBN/Neff/relic. User kept minimal secluded model.","cosmological viability;BBN;Neff;relic;final interpretation","Specify a portal and compute Gamma_portal/H, or relabel result as conditional on UV completion",handoff_constraints.json,warnings/C3
A02,uncertainty,cosmology/BBN,8,False,"SM-bath reheating after percolation not computed; fopt Treh~0.5-1.5 MeV (below ~2-4.7 MeV) vs pta T_star~37-138 MeV; Treh is combined-bath convention. BBN pass/fail undetermined.","BBN viability;Treh interpretation","Compute SM-bath reheating with entropy-transfer; check T_SM>2-4.7 MeV",handoff_constraints.json,C1
A03,caveat,statistics/prior-template,7,False,"Template/prior dependence: fopt benchmarks chi0~5 MeV g~1.3 vs PTArcade posterior chi0~1 GeV g~0.87; preferred region driven by dbf matching and priors.","preferred region;derived masses;downstream constraints","Document conditionality; cross-check alternative template and chi0 prior",handoff_fopt.json/handoff_pta.json,best_points vs bayes_estimates
A04,approximation,GW-template,7,False,"dbf alpha~1e5->1e15 extrapolated far beyond validated range; viability rests on amplitude saturation K_sw->1; not simulation-validated at these alpha.","GW amplitude;PTA score;preferred region","Confirm saturation vs 2511.15687; assess residual alpha-dependence and super-horizon tail",handoff_pta.json,warnings/template_validity
A05,approximation,GW-template,5,True,"Fixed ksw=1 and vw->1 imposed not derived; feed GW amplitude and T_star.","GW amplitude;spectral shape","Estimate ksw, vw from friction balance; propagate spread",handoff_pta.json,pta_parameter_basis.fixed
A06,assumption,thermalization,7,False,"xi=1 secluded thermalization assumed upstream; inconsistent without portal; propagates into alpha/beta_H/Treh/spectrum.","gstar_eff;alpha;Treh;GW spectrum;Neff","Compute actual xi(T) from portal; re-evaluate FOPT if xi!=1",handoff_model.json,assumptions[0]
A07,uncertainty,cosmology/Neff,8,False,"Delta Neff from secluded sector not computed; 2306.09411 disfavours fully secluded dark FOPT (Delta Neff>0.22 excluded).","Neff viability;final interpretation","Compute Delta Neff(xi,g_dark); needs portal rate",handoff_constraints.json,C2
A08,limitation,cosmology/late-decay,6,False,"chi stability/late decays unresolved; m_chi<m_W throughout so chi->WW closed; stable (dark radiation) or late SM decay (BBN/CMB injection).","BBN/CMB injection;Omega_chi;Neff","Compute tau_chi, Omega_chi once portal fixed",handoff_constraints.json,C6
A09,uncertainty,dark-matter,6,False,"W_D vector DM relic not computed; literature sets it non-thermally via portal; stability assumed not confirmed.","Omega_DM h^2;DM interpretation","Relic-abundance calc with portal; confirm W_D stability",handoff_constraints.json,C5
A10,approximation,effective-potential,6,True,"High-T expansion used in deep supercooling, least accurate where model lives; no daisy resummation.","alpha;beta_H;Tn;Tp;Treh","Cross-check with full thermal integrals + daisy; quantify error",handoff_fopt.json,approximations
A11,approximation,FOPT-completion,5,True,"Gaussian false-vacuum percolation approx; cosmic-expansion/super-horizon tail not fully captured (2511.15687).","transition completion;Tp;beta_H;GW IR tail","Full percolation integral with expansion; include causality tail",handoff_fopt.json,approximations/warnings
A12,approximation,statistics/PTA,5,True,"ceffyl free-spectrum likelihood not full per-pulsar HD analysis; inherits NANOGrav power-law/HD assumptions; no SMBHB marginalization.","posterior;credible regions;evidence","Note ceffyl approx; compare with full PTA likelihood; mixed SMBHB+FOPT",handoff_pta.json,ptarcade_analysis.campaign
A13,caveat,model-comparison,6,False,"No Bayesian comparison vs SMBHB astrophysical background; evidence null; good fit does not establish FOPT preference.","strength of NANOGrav explanation claim","Compute Bayes factor FOPT vs SMBHB (and SMBHB+FOPT)",handoff_pta.json,bayes_estimates.evidence
A14,uncertainty,structure-formation,4,False,"SIDM sigma/m for light W_D with ~10x lighter chi mediator not computed though inputs present.","halo-shape/Bullet-cluster viability","Compute sigma_self/m (Born/Sommerfeld)",handoff_constraints.json,C10
A15,caveat,portal-dependent-constraints,5,False,"Beam-dump/SN1987A/direct-detection/Higgs-portal bounds conditional on unspecified portal; adding portal tensions epsilon window or breaks conformal invariance.","lab/astro constraints once portal added","Recast C7-C9,C11 when portal fixed; expect BBN-vs-lab tension",handoff_constraints.json,"C7,C8,C9,C11"
A16,approximation,effective-potential,4,True,"RG scale fixed at mu=chi0, no running; lambda/beta_lambda/m_chi carry scale-choice uncertainty; scalar back-reaction <0.04% controlled.","m_chi;beta_lambda;alpha;beta_H","Vary mu around chi0 / RG-improve; quantify scale sensitivity",handoff_fopt.json,approximations
A17,assumption,perturbativity,3,True,"g<=1.5 perturbativity bound; posterior g~0.87 safe but fopt benchmarks g~1.3-1.45 near edge.","one-loop CW reliability;beta_lambda","Spot-check two-loop at high-g benchmarks",handoff_model.json,assumptions
A18,limitation,scope/novelty,3,True,"Model not novel (=2109.11558); literature anchor alpha~0.4 chi0~MeV vs pipeline extreme alpha chi0~GeV; benchmarks not reproduced one-to-one.","confidence in preferred region","Reproduce 2109.11558 alpha~0.4 scenario; understand migration to extreme alpha",handoff_librarian_preliminary.json,novelty_verdict
